current_image,trial_index,is_blank_trial
practice_images/paired_image_36_1.png,0,0
practice_images/paired_image_18_1.png,1,0
practice_images/paired_image_30_1.png,2,0
practice_images/paired_image_19_1.png,3,0
practice_images/paired_image_36_2.png,4,0
practice_images/paired_image_15_1.png,5,0
practice_images/paired_image_22_2.png,6,0
practice_images/paired_image_33_1.png,7,0
practice_images/paired_image_4_2.png,8,0
practice_images/paired_image_6_2.png,9,0
blank.jpg,10,1
practice_images/paired_image_29_1.png,11,0
practice_images/paired_image_12_1.png,12,0
practice_images/paired_image_20_2.png,13,0
practice_images/paired_image_2_1.png,14,0
practice_images/paired_image_21_2.png,15,0
practice_images/paired_image_25_2.png,16,0
practice_images/paired_image_24_1.png,17,0
practice_images/paired_image_15_2.png,18,0
practice_images/paired_image_27_1.png,19,0
