current_image,trial_index,is_blank_trial
practice_images/w_kitchen1.jpg,0,0
practice_images/w_auditorium2.jpg,1,0
practice_images/w_kitchen1.jpg,2,0
practice_images/w_monument2.jpg,3,0
practice_images/w_auditorium1.jpg,4,0
practice_images/w_monument1.jpg,5,0
practice_images/w_bedroom2.jpg,6,0
practice_images/w_boardwalk1.jpg,7,0
practice_images/w_auditorium1.jpg,8,0
practice_images/w_auditorium2.jpg,9,0
blank.jpg,10,1
practice_images/w_bedroom2.jpg,11,0
practice_images/w_boardwalk1.jpg,12,0
practice_images/w_boardwalk2.jpg,13,0
practice_images/w_bedroom1.jpg,14,0
practice_images/w_boardwalk2.jpg,15,0
practice_images/w_monument1.jpg,16,0
practice_images/w_bedroom1.jpg,17,0
practice_images/w_kitchen2.jpg,18,0
practice_images/w_monument2.jpg,19,0
