current_image,trial_index,is_blank_trial
practice_images/paired_image_35_1.png,0,0
practice_images/paired_image_29_1.png,1,0
practice_images/paired_image_16_1.png,2,0
practice_images/paired_image_15_1.png,3,0
practice_images/paired_image_34_1.png,4,0
practice_images/paired_image_4_2.png,5,0
practice_images/paired_image_18_1.png,6,0
practice_images/paired_image_28_2.png,7,0
practice_images/paired_image_26_2.png,8,0
practice_images/paired_image_33_1.png,9,0
practice_images/blank.jpg,10,1
practice_images/paired_image_25_1.png,11,0
practice_images/paired_image_21_2.png,12,0
practice_images/paired_image_6_1.png,13,0
practice_images/paired_image_11_2.png,14,0
practice_images/paired_image_22_2.png,15,0
practice_images/paired_image_35_2.png,16,0
practice_images/paired_image_33_2.png,17,0
practice_images/paired_image_24_2.png,18,0
practice_images/blank.jpg,19,0
