current_image,trial_index,is_blank_trial,thisN,thisTrialN,thisRepN,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,press_if_repeat_2.rt,press_if_repeat_2.duration,is_repeat,is_new_run,run_num,sess_num,is_not_last_trial,all_blanks_list,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,key_resp_5.keys,key_resp_4.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,all_keys_pressed.rt,all_keys_pressed.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_runs.thisRepN,loop_runs.thisTrialN,loop_runs.thisN,loop_runs.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,image_2.started,press_if_repeat_2.started,polygon_3.started,all_keys_pressed_2.started,image_2.stopped,press_if_repeat_2.stopped,practice_trial.stopped,practice.press_if_repeat_2.keys,practice.press_if_repeat_2.corr,practice.all_keys_pressed_2.keys,practice.press_if_repeat_2.rt,practice.press_if_repeat_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,image.started,press_if_repeat.started,polygon.started,all_keys_pressed.started,image.stopped,press_if_repeat.stopped,trial.stopped,loop_all_images.press_if_repeat.keys,loop_all_images.press_if_repeat.corr,loop_all_images.press_if_repeat.rt,loop_all_images.press_if_repeat.duration,loop_all_images.all_keys_pressed.keys,run_wait2_2.started,run_wait2_2.stopped,loop_all_images.key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,loop_all_images.key_resp_4.keys,key_resp_5.started,text_5.started,loop_all_images.key_resp_5.rt,loop_all_images.key_resp_5.duration,key_resp_4.started,text_4.started,loop_all_images.key_resp_4.rt,loop_all_images.key_resp_4.duration,loop_all_images.all_keys_pressed.rt,loop_all_images.all_keys_pressed.duration,participant,session (1 2 or 3),starting_run,skip_practice,date,expName,psychopyVersion,frameRate,expStart,
practice_images/w_bedroom1.jpg,8,0,8,8,0,2,0,None,1.0782784999901196,0.3069747080007801,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,34.276896834009676,,,,,,,,,,,34.271387500004494,34.276896834009676,34.276896834009676,34.276896834009676,34.276896834009676,37.266746000008425,37.266746000008425,38.1452702920069,2,0,None,1.0782784999901196,0.3069747080007801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
practice_images/w_monument2.jpg,9,0,9,9,0,2,0,None,1.2219717489933828,0.37198645899479743,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,38.216209209000226,,,,,,,,,,,38.21061933400051,38.216209209000226,38.216209209000226,38.216209209000226,38.216209209000226,41.211538709001616,41.211538709001616,42.14500758401118,2,0,None,1.2219717489933828,0.37198645899479743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.161369250010466,42.16568679201009,42.16568679201009,64.1962312500109,1,22.02864924899768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19633170901216,64.20296141700237,64.20296141700237,199.81524645900936,equal,135.6086737079895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/special515/special_13613.jpg,0,0,0,0,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,1.0236707080039196,0.5519430830026977,None,None,None,,,,,,,,,,,0,0,0,0,0,0,0,0,200.14384287501161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.95232595900598,199.95307604200207,200.1330083339999,200.14384287501161,200.14384287501161,200.14384287501161,200.14384287501161,203.13252533400373,203.13252533400373,203.96212195900443,1,1,1.0236707080039196,0.5519430830026977,None,203.96245525000268,203.962569292009,None,203.96273199999996,203.96281087500392,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/shared1000_notspecial/notspecial_31049.png,1,0,1,1,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.6462576240010094,0.6959794169961242,None,None,None,,,,,,,,,,,0,0,0,0,0,1,1,1,204.1362928340095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9634831250005,203.96384729200508,204.13299454200023,204.1362928340095,204.1362928340095,204.1362928340095,204.1362928340095,207.1328116250079,207.1328116250079,207.96620195900323,1,1,0.6462576240010094,0.6959794169961242,None,207.96634854200238,207.9663849589997,None,207.96644554199884,207.9664773340046,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/special515/special_28096.jpg,2,0,2,2,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.7741937910031993,0.4179334999935236,None,None,None,,,,,,,,,,,0,0,0,0,0,2,2,2,208.12428670900408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.966846292009,207.96701025000948,208.1192082500056,208.12428670900408,208.12428670900408,208.12428670900408,208.12428670900408,211.1156836250011,211.1156836250011,211.9787949169986,1,1,0.7741937910031993,0.4179334999935236,None,211.9790572089987,211.97915079200175,None,211.97922291701252,211.97928174999834,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/shared1000_notspecial/notspecial_68471.png,3,0,3,3,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.7794806659949245,0.29400495800655335,None,None,None,,,,,,,,,,,0,0,0,0,0,3,3,3,212.16103479200683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.97981954200077,211.98001016701164,212.1558445420087,212.16103479200683,212.16103479200683,212.16103479200683,212.16103479200683,215.14986145900912,215.14986145900912,215.98346037500596,1,1,0.7794806659949245,0.29400495800655335,None,215.98364308400778,215.98368595899956,None,215.98374904200318,215.98378624999896,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/special515/special_15506.jpg,4,0,4,4,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.8440855820081197,0.48598320900055114,None,None,None,,,,,,,,,,,0,0,0,0,0,4,4,4,216.13144954200834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.98423783401086,215.98445975000504,216.12682045900146,216.13144954200834,216.13144954200834,216.13144954200834,216.13144954200834,219.12876783400134,219.12876783400134,219.99560612501227,1,1,0.8440855820081197,0.48598320900055114,None,219.995964583999,219.99604637500306,None,219.9962322920037,219.99630441699992,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
all_stimuli/MST_pairs1/pair_24_nsd_158_1_cocoid_2285.png,5,0,5,5,0,,,,,,0,0,0,5,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.833069083004375,0.3890780419897055,None,None,None,,,,,,,,,,,0,0,0,0,0,5,5,5,220.2814240000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.99696958401182,219.99726025000564,220.27746120899974,220.2814240000007,220.2814240000007,220.2814240000007,220.2814240000007,223.27854437500355,223.27854437500355,223.99911475001136,1,1,0.833069083004375,0.3890780419897055,None,223.99933912500273,223.9993891250051,None,223.99944887500897,223.9994914590061,None,,,,,,,,,,,4,5,0,0,2025-02-06_12h23.14.618,rtmindeye,2024.2.4,None,2025-02-06 12h23.39.940222 -0500,
