current_image,trial_index,is_blank_trial,thisN,thisTrialN,thisRepN,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,is_repeat,is_new_run,run_num,sess_num,is_not_last_trial,all_blanks_list,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,key_resp_5.keys,key_resp_4.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_runs.thisRepN,loop_runs.thisTrialN,loop_runs.thisN,loop_runs.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,practice_continue.stopped,key_resp_6.keys,practice_trial.started,practice_trial.stopped,practice.press_if_repeat_2.keys,practice.press_if_repeat_2.corr,practice.all_keys_pressed_2.keys,testing_continue.started,testing_continue.stopped,key_resp_7.keys,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,image.started,press_if_repeat.started,polygon.started,all_keys_pressed.started,image.stopped,press_if_repeat.stopped,trial.stopped,loop_all_images.press_if_repeat.keys,loop_all_images.press_if_repeat.corr,loop_all_images.press_if_repeat.rt,loop_all_images.press_if_repeat.duration,loop_all_images.all_keys_pressed.keys,run_wait2_2.started,run_wait2_2.stopped,loop_all_images.key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,loop_all_images.key_resp_4.keys,polygon.stopped,all_keys_pressed.stopped,key_resp_5.started,text_5.started,loop_all_images.key_resp_5.rt,loop_all_images.key_resp_5.duration,key_resp_4.started,text_4.started,loop_all_images.key_resp_4.rt,loop_all_images.key_resp_4.duration,participant,session (1 2 or 3),starting_run,skip_practice,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017777001485228539,0.0018498999997973442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006140900077298284,0.006169100059196353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_kitchen2.jpg,0,0,0,0,0,None,0,None,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.1920474001672119,,,,,,,0.03848009998910129,0.03851990005932748,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_boardwalk2.jpg,1,0,1,1,0,None,0,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0.1920474001672119,,,,,,,0.05323000019416213,0.05326319998130202,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_monument2.jpg,2,0,2,2,0,None,0,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0.1920474001672119,,,,,,,0.06551690003834665,0.06554950005374849,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_auditorium2.jpg,3,0,3,3,0,None,0,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,0.1920474001672119,,,,,,,0.0851853999774903,0.08521790010854602,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_kitchen2.jpg,4,0,4,4,0,None,0,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,0.1920474001672119,,,,,,,0.09006269997917116,0.09009520011022687,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_auditorium1.jpg,5,0,5,5,0,None,0,None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,0.1920474001672119,,,,,,,0.125518900109455,0.12555990018881857,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_bedroom2.jpg,6,0,6,6,0,None,0,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,0.1920474001672119,,,,,,,0.13803560007363558,0.1380677002016455,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
practice_images/w_kitchen1.jpg,7,0,7,7,0,None,0,None,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,0.1920474001672119,,,,,,,0.15124340006150305,0.1512770000845194,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,1,2025-04-17_10h35.57.601,rtmindeye,2024.2.4,60.03665839716323,2025-04-17 10h37.00.979589 -0400,
