current_image,trial_index,is_blank_trial,thisN,thisTrialN,thisRepN,press_if_repeat_2.keys,press_if_repeat_2.corr,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.keys,is_repeat,is_new_run,run_num,sess_num,is_not_last_trial,all_blanks_list,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,key_resp_5.keys,key_resp_4.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_runs.thisRepN,loop_runs.thisTrialN,loop_runs.thisN,loop_runs.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,image_2.started,press_if_repeat_2.started,polygon_3.started,all_keys_pressed_2.started,image_2.stopped,press_if_repeat_2.stopped,practice_trial.stopped,practice.press_if_repeat_2.keys,practice.press_if_repeat_2.corr,practice.press_if_repeat_2.rt,practice.press_if_repeat_2.duration,practice.all_keys_pressed_2.keys,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,image.started,press_if_repeat.started,polygon.started,all_keys_pressed.started,image.stopped,press_if_repeat.stopped,trial.stopped,loop_all_images.press_if_repeat.keys,loop_all_images.press_if_repeat.corr,loop_all_images.press_if_repeat.rt,loop_all_images.press_if_repeat.duration,loop_all_images.all_keys_pressed.keys,run_wait2_2.started,run_wait2_2.stopped,loop_all_images.key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,loop_all_images.key_resp_4.keys,polygon.stopped,all_keys_pressed.stopped,key_resp_5.started,text_5.started,loop_all_images.key_resp_5.rt,loop_all_images.key_resp_5.duration,key_resp_4.started,text_4.started,loop_all_images.key_resp_4.rt,loop_all_images.key_resp_4.duration,participant,session (1 2 or 3),starting_run,skip_practice,date,expName,psychopyVersion,frameRate,expStart,
practice_images/w_bedroom1.jpg,8,0,8,8,0,2,0,0.7467295999813359,0.21685930000967346,None,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,38.864178599993465,,,,,,,,,,,38.86037059998489,38.864178599993465,38.864178599993465,38.864178599993465,38.864178599993465,41.86441379997996,41.86441379997996,42.84792679999373,2,0,0.7467295999813359,0.21685930000967346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
practice_images/w_monument2.jpg,9,0,9,9,0,2,0,0.6885517000046093,0.24691769998753443,None,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,42.864234999986365,,,,,,,,,,,42.85850849997951,42.864234999986365,42.864234999986365,42.864234999986365,42.864234999986365,45.86441029998241,45.86441029998241,46.84804349998012,2,0,0.6885517000046093,0.24691769998753443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.905464699986624,46.908055399981095,46.908055399981095,66.4311955999874,1,19.51782240002649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.43123749998631,66.44733129997621,66.44733129997621,204.2140553999925,equal,137.7653844000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/special515/special_13613.jpg,0,0,0,0,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.7288860999979079,0.3990594999922905,None,None,None,,,,,,,,,0,0,0,0,0,0,0,0,204.30974830000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2400330999808,204.2401321999787,204.30603269999847,204.30974830000196,204.30974830000196,204.30974830000196,204.30974830000196,207.31405220000306,207.31405220000306,208.24746169999707,1,1,0.7288860999979079,0.3990594999922905,None,208.24753259998397,208.2475562999898,None,208.24757999999565,208.24759819998872,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/shared1000_notspecial/notspecial_31049.png,1,0,1,1,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.7208579999860376,0.46716560001368634,None,None,None,,,,,,,,,0,0,0,0,0,1,1,1,208.28272149999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.24776129997917,208.24780799998553,208.28107229998568,208.28272149999975,208.28272149999975,208.28272149999975,208.28272149999975,211.29735939999227,211.29735939999227,212.26379420000012,1,1,0.7208579999860376,0.46716560001368634,None,212.26386429998092,212.2638868999784,None,212.26391049998347,212.2639287999773,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/special515/special_28096.jpg,2,0,2,2,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.717474700009916,0.2759477999934461,None,None,None,,,,,,,,,0,0,0,0,0,2,2,2,212.30108479998307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.26409079998848,212.26413440000033,212.298547399987,212.30108479998307,212.30108479998307,212.30108479998307,212.30108479998307,215.31423019999056,215.31423019999056,216.26434129997506,1,1,0.717474700009916,0.2759477999934461,None,216.26441219999106,216.2644337999809,None,216.26445729998522,216.264475199976,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/shared1000_notspecial/notspecial_68471.png,3,0,3,3,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.6140331999922637,0.2889951000106521,None,None,None,,,,,,,,,0,0,0,0,0,3,3,3,216.29549019999104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.26463179997518,216.2646790999861,216.29387149997638,216.29549019999104,216.29549019999104,216.29549019999104,216.29549019999104,219.29728800000157,219.29728800000157,220.28091349999886,1,1,0.6140331999922637,0.2889951000106521,None,220.28098359997966,220.28100570000242,None,220.28102919997764,220.28104729999905,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/special515/special_15506.jpg,4,0,4,4,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.6585797999869101,0.42887240002164617,None,None,None,,,,,,,,,0,0,0,0,0,4,4,4,220.3141374999832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.28120579998358,220.2812491999939,220.31238079999457,220.3141374999832,220.3141374999832,220.3141374999832,220.3141374999832,223.31396689999383,223.31396689999383,224.29743759997655,1,1,0.6585797999869101,0.42887240002164617,None,224.29750869999407,224.2975300999824,None,224.29755409999052,224.29757179997978,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
all_stimuli/MST_pairs1/pair_24_nsd_158_1_cocoid_2285.png,5,0,5,5,0,,,,,,0,0,0,1,1,"[9, 21, 31, 45, 56, 68, 69]",1,1,0.6904693999968003,0.5430591000185814,None,None,None,,,,,,,,,0,0,0,0,0,5,5,5,224.61210009999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.2977323999803,224.2977763999952,224.60809589998098,224.61210009999922,224.61210009999922,224.61210009999922,224.61210009999922,227.61392089998117,227.61392089998117,228.31401979998918,1,1,0.6904693999968003,0.5430591000185814,None,228.31409020000137,228.3141123999958,None,228.31413559999783,228.31415369999013,None,,,,,,,,,,,8,1,0,0,2025-06-12_13h19.24.394,rtmindeye,2024.2.4,59.93913780355433,2025-06-12 13h19.37.622275 -0400,
