current_image,trial_index,is_blank_trial,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03188363799995386,0.03215711600000759,0.03217502300003616,0.05221366199998556,0.05221366199998556,0.8857013439999264,space,0.8183140930000263,None,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
images/9_28 copy 2.jpg,0,0,0,0,0,0,0.9213846759998887,,,,,,,,,,,0.8956942199999958,0.895766180999999,0.8957751400000689,0.9213846759998887,0.9213846759998887,1.9187667359999523,1.9187667359999523,4.918219786999998,4.918219786999998,4.918219786999998,4.918219786999998,4.902408899999955,None,0,None,4.903124097000045,4.90316873200004,,,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
images/14_40.jpg,1,0,0,1,1,1,4.918219786999998,,,,,,,,,,,4.903449855999952,4.90354569200008,4.903558040000007,4.918219786999998,4.918219786999998,5.918233483999984,5.918233483999984,8.91844189099993,8.91844189099993,8.91844189099993,8.91844189099993,8.901591257000064,2,0,None,8.902117930000031,8.902150524000035,2.908266749000177,None,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
images/6_28.jpg,2,0,0,2,2,2,8.91844189099993,,,,,,,,,,,8.902334719999999,8.902397333999943,8.902405292999902,8.91844189099993,8.91844189099993,9.918412879000016,9.918412879000016,12.918070531000012,12.918070531000012,12.918070531000012,12.918070531000012,12.90241463999996,1,0,None,12.903178161999904,12.903220546000057,2.7841376740000214,None,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
images/23_40 copy 3.jpg,3,0,0,3,3,3,12.918070531000012,,,,,,,,,,,12.903495790000079,12.903581020000047,12.903592932000038,12.918070531000012,12.918070531000012,13.918503425999916,13.918503425999916,16.91842171600001,16.91842171600001,16.91842171600001,16.91842171600001,16.90236787899994,2,0,None,16.9029560219999,16.902998532000083,2.6760475480000423,None,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
images/14_12 copy.jpg,4,0,0,4,4,4,16.91842171600001,,,,,,,,,,,16.90326873999993,16.903353514999935,16.903365283000085,16.91842171600001,16.91842171600001,17.918526379000014,17.918526379000014,20.918055537999862,20.918055537999862,20.918055537999862,20.918055537999862,20.90243477199988,2,0,None,20.903020038000022,20.903061304999937,2.8881518350001443,None,1,001,0,,2024-04-12_12h32.49.753,replicate_nsd,2023.2.3,60.108705873229354,2024-04-12 12h33.04.943747 -0400,
,,,,,,,20.918055537999862,,,,,,,,,,,20.9033316739999,20.90341760499996,20.90342945899988,20.918055537999862,20.918055537999862,21.918407848000015,21.918407848000015,,,,,,,,,,,,,,,,,,,,,,
