current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02921046200208366,0.029419186001177877,0.029438811005093157,0.040993909002281725,0.040993909002281725,1.474532899010228,5,1.4285489769827109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h27.37.603,replicate_nsd,2023.2.3,59.953911391824946,2024-04-09 12h27.54.327993 -0400,
images/6_28 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.5985793299914803,,,,,,,,,,,1.5487312790064607,1.5985793299914803,2.5743212600064,2.5743212600064,5.574415223993128,5.574415223993128,5.574415223993128,5.560527583991643,None,5.561921908985823,5.574415223993128,5.574415223993128,9.574376617005328,9.574376617005328,9.559489554987522,None,9.560439367982326,9.574376617005328,9.574376617005328,10.676347319007618,space,1.095107000990538,None,10.677528851985699,10.677556684007868,None,1,001,0,,2024-04-09_12h27.37.603,replicate_nsd,2023.2.3,59.953911391824946,2024-04-09 12h27.54.327993 -0400,
images/10_40 copy 4.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,10.69120736498735,,,,,,,,,,,10.678141354001127,10.69120736498735,11.69111330099986,11.69111330099986,14.691220250999322,14.691220250999322,14.691220250999322,14.674599888996454,None,14.674779816996306,,,,,14.674821355991298,None,14.674942009994993,,,14.674983017001068,None,,,14.675093330995878,14.675127458991483,None,1,001,0,,2024-04-09_12h27.37.603,replicate_nsd,2023.2.3,59.953911391824946,2024-04-09 12h27.54.327993 -0400,
,,,,,,,,,,,14.691220250999322,,,,,,,,,,,14.675486872001784,14.691220250999322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
