current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/pair09 copy.jpg,0,8,0,0,0,0,8,8,8,141.50956164200034,,,,,,,,,,,,,,,,,,141.49889044400334,142.45818730199971,None,142.45830465900508,,,,,142.4583282750027,None,,,142.45839858800173,142.45842153700505,141.50956164200034,141.83491752200644,141.83491752200644,142.46669157100405,142.46669157100405,142.46669157100405,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/23_28 copy 3.jpg,0,9,0,0,0,0,9,9,9,142.46669157100405,,,,,,,,,,,,,,,,,,142.45860964600433,143.30310687400197,None,143.30325787500624,,,,,143.3032855040001,None,,,143.3033670799996,143.3033939520028,142.46669157100405,142.65456773200276,142.65456773200276,143.3097239350027,143.3097239350027,143.3097239350027,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,10,1,0,0,0,10,10,10,143.3097239350027,,,,,,,,,,,,,,,,,,143.30359019300522,143.30559224300669,None,143.3057120950034,143.3097239350027,143.3097239350027,144.0763571800053,144.0763571800053,144.06978669800446,a,0.6872796110037598,None,144.07000234000589,144.07002881000517,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/18_0 copy.jpg,0,11,0,0,0,0,11,11,11,144.0763571800053,,,,,,,,,,,,,,,,,,144.07020079300128,144.92136722900614,None,144.92147511600342,,,,,144.92149959700328,None,,,144.92156672200508,144.92158911700244,144.0763571800053,144.26963934800006,144.26963934800006,144.9278907850021,144.9278907850021,144.9278907850021,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/16_40 copy 2.jpg,0,12,0,0,0,0,12,12,12,144.9278907850021,,,,,,,,,,,,,,,,,,144.9217508330039,145.76977006400557,None,145.76990019300138,,,,,145.76992658600648,None,,,145.77000655000302,145.7700328630017,144.9278907850021,145.11318868400122,145.11318868400122,145.7775979020007,145.7775979020007,145.7775979020007,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair05 copy 4.jpg,0,13,0,0,0,0,13,13,13,145.7775979020007,,,,,,,,,,,,,,,,,,145.77022420400317,146.62241423000523,None,146.62254504300654,,,,,146.62256892200094,None,,,146.622638836001,146.62266200200247,145.7775979020007,145.97359520200553,145.97359520200553,146.6285904960023,146.6285904960023,146.6285904960023,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/23_28 copy 3.jpg,0,14,0,0,0,0,14,14,14,146.6285904960023,,,,,,,,,,,,,,,,,,146.62283919699985,147.4346685030032,None,147.43478350200166,,,,,147.43480725800327,None,,,147.43487773300149,147.434900707005,146.6285904960023,146.8194406410039,146.8194406410039,147.43995827500476,147.43995827500476,147.43995827500476,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/23_28 copy 3.jpg,0,15,0,0,0,0,15,15,15,147.43995827500476,,,,,,,,,,,,,,,,,,147.4350699580027,148.3153929320033,None,148.31554917300673,,,,,148.31557662800333,None,,,148.31565700600186,148.315683962006,147.43995827500476,147.63272864300234,147.63272864300234,148.3231214700063,148.3231214700063,148.3231214700063,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/20_28 copy 5.jpg,0,16,0,0,0,0,16,16,16,148.3231214700063,,,,,,,,,,,,,,,,,,148.31587837100233,149.15902650300268,None,149.15927388200362,,,,,149.15932714300288,None,,,149.15946700500353,149.15951142300037,148.3231214700063,148.5135810530046,148.5135810530046,149.1698427490046,149.1698427490046,149.1698427490046,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/5_40 copy 5.jpg,0,17,0,0,0,0,17,17,17,149.1698427490046,,,,,,,,,,,,,,,,,,149.15982058300142,150.05691946700244,None,150.057099690006,,,,,150.05713595500129,None,,,150.05723965000652,150.05727282500447,149.1698427490046,149.36782952700014,149.36782952700014,150.06587623300584,150.06587623300584,150.06587623300584,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
