current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0256882949906867,0.025892695994116366,0.025912173005053774,0.03627876899554394,0.03627876899554394,1.4113166200113483,5,1.370532775996253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h24.55.334,replicate_nsd,2023.2.3,59.959976948110125,2024-04-09 12h25.08.168222 -0400,
images/6_28 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.524839151010383,,,,,,,,,,,1.4835568490088917,1.524839151010383,2.5120968550036196,2.5120968550036196,5.511804120003944,5.511804120003944,5.511804120003944,5.495266231999267,None,5.496383259014692,5.511804120003944,5.511804120003944,9.512112588010496,9.512112588010496,9.495559775998117,None,9.496554320008727,9.512112588010496,9.512112588010496,10.945434810011648,space,1.4227022909908555,None,10.947219979017973,10.947261908993823,None,1,001,0,,2024-04-09_12h24.55.334,replicate_nsd,2023.2.3,59.959976948110125,2024-04-09 12h25.08.168222 -0400,
images/10_40 copy 4.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,10.961669019015972,,,,,,,,,,,10.948187158006476,10.961669019015972,11.962128376995679,11.962128376995679,14.961658868007362,14.961658868007362,14.961658868007362,14.945594356016954,None,14.945768534002127,,,,,14.945807834010338,None,14.945923357998254,,,14.945962032012176,None,,,14.946067820012104,14.946101865003584,None,1,001,0,,2024-04-09_12h24.55.334,replicate_nsd,2023.2.3,59.959976948110125,2024-04-09 12h25.08.168222 -0400,
,,,,,,,,,,,14.961658868007362,,,,,,,,,,,14.946461589017417,14.961658868007362,15.962099882017355,15.962099882017355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
