current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.rt,all_keys_pressed.duration,key_resp_3.rt,key_resp_3.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/8_40 copy 3.jpg,9,0,,,,,0,9,9,9,,,,,37.683749806998094,,,,,,,,,,,37.66854312599753,37.683749806998094,37.683749806998094,38.68396348999886,38.68396348999886,41.68376792100025,41.68376792100025,41.68376792100025,41.68376792100025,41.667818754998734,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/blank.jpg,10,1,,,,,0,10,10,10,,,,,41.68376792100025,,,,,,,,,,,41.66849585499949,41.68376792100025,41.68376792100025,42.68403559499711,42.68403559499711,45.73303553000005,45.73303553000005,45.73303553000005,45.73303553000005,45.71708420699724,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/14_40 copy 6.jpg,11,0,,,,,0,11,11,11,,,,,45.73303553000005,,,,,,,,,,,45.717759594997915,45.73303553000005,45.73303553000005,46.73393086099895,46.73393086099895,49.73321094799758,49.73321094799758,49.73321094799758,49.73321094799758,49.717344879998564,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/5_12 copy 7.jpg,12,0,,,,,0,12,12,12,,,,,49.73321094799758,,,,,,,,,,,49.71823754199795,49.73321094799758,49.73321094799758,50.73471151099875,50.73471151099875,53.73313692599913,53.73313692599913,53.73313692599913,53.73313692599913,53.71711001299991,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/18_28 copy 6.jpg,13,0,,,,,0,13,13,13,,,,,53.73313692599913,,,,,,,,,,,53.71778443499716,53.73313692599913,53.73313692599913,54.73273994899864,54.73273994899864,57.733255846997054,57.733255846997054,57.733255846997054,57.733255846997054,57.717331326999556,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/19_12 copy 4.jpg,14,0,,,,,0,14,14,14,,,,,57.733255846997054,,,,,,,,,,,57.718016037997586,57.733255846997054,57.733255846997054,58.73334655099825,58.73334655099825,61.73375870099699,61.73375870099699,61.73375870099699,61.73375870099699,61.71712600299725,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/7_0 copy 2.jpg,15,0,,,,,0,15,15,15,,,,,61.73375870099699,,,,,,,,,,,61.71780995299923,61.73375870099699,61.73375870099699,62.73334872099804,62.73334872099804,65.73341036599959,65.73341036599959,65.73341036599959,65.73341036599959,65.71735324999827,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/21_28 copy 5.jpg,16,0,,,,,0,16,16,16,,,,,65.73341036599959,,,,,,,,,,,65.7180330509982,65.73341036599959,65.73341036599959,66.73333279599683,66.73333279599683,69.7331900279969,69.7331900279969,69.7331900279969,69.7331900279969,69.71729883700027,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/9_12 copy 6.jpg,17,0,,,,,0,17,17,17,,,,,69.7331900279969,,,,,,,,,,,69.71797392099688,69.7331900279969,69.7331900279969,70.73335634799878,70.73335634799878,73.73396707899883,73.73396707899883,73.73396707899883,73.73396707899883,73.71733124699676,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/21_40 copy 5.jpg,18,0,,,,,0,18,18,18,,,,,73.73396707899883,,,,,,,,,,,73.71801429100015,73.73396707899883,73.73396707899883,74.73392642999897,74.73392642999897,77.73337677800009,77.73337677800009,77.73337677800009,77.73337677800009,77.71724083299705,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
