current_image,trial_index,is_blank_trial,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.012742814999910479,0.012877601000582217,0.012887159999991127,0.03233324299981177,0.03233324299981177,39.00830829200004,1,38.964143078000234,None,,,,,,,,,,,,,,,,,,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_22_2.png,0,0,0,0,0,0,39.048900515999776,,,,,,,,,,,39.018481140000404,39.018576892000056,39.018586369999866,39.048900515999776,39.048900515999776,40.04145547400003,40.04145547400003,43.04393002600045,43.04393002600045,43.04393002600045,43.04393002600045,43.02553236200038,None,0,None,43.02625097000055,43.026295005000065,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_25_1.png,1,0,0,1,1,1,43.04393002600045,,,,,,,,,,,43.026583644999846,43.02670266400037,43.02671496699986,43.04393002600045,43.04393002600045,44.041890207000506,44.041890207000506,47.04163813700052,47.04163813700052,47.04163813700052,47.04163813700052,47.025536056999954,None,0,None,47.02596336199986,47.026004547999946,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_33_1.png,2,0,0,2,2,2,47.04163813700052,,,,,,,,,,,47.02628745899983,47.02640353700008,47.02641553800004,47.04163813700052,47.04163813700052,48.04167836099987,48.04167836099987,51.04254204600056,51.04254204600056,51.04254204600056,51.04254204600056,51.025759752999875,None,0,None,51.02637641799993,51.026417287000186,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_29_1.png,3,0,0,3,3,3,51.04254204600056,,,,,,,,,,,51.02669790999971,51.02681352000036,51.02682520400049,51.04254204600056,51.04254204600056,52.042024948999824,52.042024948999824,55.04343056000016,55.04343056000016,55.04343056000016,55.04343056000016,55.02596249199996,None,0,None,55.026569901000585,55.02661060900027,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_35_1.png,4,0,0,4,4,4,55.04343056000016,,,,,,,,,,,55.02689097199982,55.027006940999854,55.02701889000036,55.04343056000016,55.04343056000016,56.04189144800057,56.04189144800057,59.04275373600012,59.04275373600012,59.04275373600012,59.04275373600012,59.025922230000106,None,0,None,59.026360816000306,59.02640187700035,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_24_2.png,5,0,0,5,5,5,59.04275373600012,,,,,,,,,,,59.02668161099973,59.026797014000294,59.026809023999704,59.04275373600012,59.04275373600012,60.04236313999991,60.04236313999991,63.04285878600058,63.04285878600058,63.04285878600058,63.04285878600058,63.026044881000416,None,0,None,63.02646893099973,63.02650959899984,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_26_2.png,6,0,0,6,6,6,63.04285878600058,,,,,,,,,,,63.02679173300021,63.026908507999906,63.02692042699982,63.04285878600058,63.04285878600058,64.04245197799992,64.04245197799992,67.04303933200026,67.04303933200026,67.04303933200026,67.04303933200026,67.02609943600055,None,0,None,67.02652166999997,67.02656241800014,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_16_1.png,7,0,0,7,7,7,67.04303933200026,,,,,,,,,,,67.02684294899973,67.02696030300012,67.02697206199991,67.04303933200026,67.04303933200026,68.04256761400029,68.04256761400029,71.04259088900017,71.04259088900017,71.04259088900017,71.04259088900017,71.02615889200024,None,0,None,71.02658626100038,71.0266274960004,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
practice_images/paired_image_6_1.png,8,0,0,8,8,8,71.04259088900017,,,,,,,,,,,71.02691079299984,71.02702896699975,71.02704069799984,71.04259088900017,71.04259088900017,72.04260754300049,72.04260754300049,75.04179434199978,75.04179434199978,75.04179434199978,75.04179434199978,75.02539044000059,None,0,None,75.02560447799988,75.0256235349998,56,001,0,,2024-04-12_14h03.53.674,replicate_nsd,2023.2.3,59.997405472352256,2024-04-12 14h04.10.224333 -0400,
,,,,,,,75.04179434199978,,,,,,,,,,,75.0257561620001,75.02581156799988,75.0258170090001,75.04179434199978,75.04179434199978,76.04258850400038,76.04258850400038,,,,,,,,,,,,,,,,,,,,
