current_image,trial_index,is_blank_trial,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,is_repeat,is_new_run,run_num,all_blanks_list,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.029766356999971322,0.03000455499977761,0.030026951999843732,0.04976327399981528,0.04976327399981528,0.8861778239997875,1,0.8316854069998953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_kitchen1.jpg,0,0,0,0,0,0,,,,,,,,,0.9390816280001673,,,,,,,,,,,0.9084205680001105,0.9084881039998436,0.9084959779997916,0.9390816280001673,0.9390816280001673,1.9204666989999168,1.9204666989999168,4.920246836999922,4.920246836999922,4.920246836999922,4.920246836999922,4.903944566000064,None,0,None,4.906239163000009,4.906318063000072,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_monument2.jpg,1,0,0,1,1,1,,,,,,,,,4.920246836999922,,,,,,,,,,,4.906631854999887,4.906729295999867,4.906741631999921,4.920246836999922,4.920246836999922,5.919486058000075,5.919486058000075,8.92001933199981,8.92001933199981,8.92001933199981,8.92001933199981,8.90383841699986,None,0,None,8.90425001199992,8.904292379999788,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_boardwalk2.jpg,2,0,0,2,2,2,,,,,,,,,8.92001933199981,,,,,,,,,,,8.904562188,8.904637900000125,8.904649774000063,8.92001933199981,8.92001933199981,9.920143183000164,9.920143183000164,12.920136200999877,12.920136200999877,12.920136200999877,12.920136200999877,12.903914659999828,None,0,None,12.904328628999792,12.904371199999787,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_bedroom2.jpg,3,0,0,3,3,3,,,,,,,,,12.920136200999877,,,,,,,,,,,12.904643188000136,12.904720370000177,12.90473209799984,12.920136200999877,12.920136200999877,13.920147729999826,13.920147729999826,16.92012576099978,16.92012576099978,16.92012576099978,16.92012576099978,16.90387575700015,None,0,None,16.904291963000105,16.904336018999857,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_boardwalk1.jpg,4,0,0,4,4,4,,,,,,,,,16.92012576099978,,,,,,,,,,,16.9046071140001,16.904683218000173,16.90469470800008,16.92012576099978,16.92012576099978,17.92016793999983,17.92016793999983,20.9196959169999,20.9196959169999,20.9196959169999,20.9196959169999,20.903910450999774,None,0,None,20.904323863000172,20.90436676299987,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_auditorium2.jpg,5,0,0,5,5,5,,,,,,,,,20.9196959169999,,,,,,,,,,,20.904638015999808,20.90471371800004,20.904725336999945,20.9196959169999,20.9196959169999,21.92040314399992,21.92040314399992,24.920343755999966,24.920343755999966,24.920343755999966,24.920343755999966,24.903962440000214,None,0,None,24.904374868000104,24.904417131000173,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_monument1.jpg,6,0,0,6,6,6,,,,,,,,,24.920343755999966,,,,,,,,,,,24.90469055099993,24.904766148999897,24.904777875000036,24.920343755999966,24.920343755999966,25.92045022000002,25.92045022000002,28.920515775999775,28.920515775999775,28.920515775999775,28.920515775999775,28.9039632529998,None,0,None,28.904379627999788,28.904422241999782,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_bedroom1.jpg,7,0,0,7,7,7,,,,,,,,,28.920515775999775,,,,,,,,,,,28.90469530900009,28.90477150600009,28.9047833489999,28.920515775999775,28.920515775999775,29.92047079599979,29.92047079599979,32.92047584000011,32.92047584000011,32.92047584000011,32.92047584000011,32.90406546699978,None,0,None,32.90448162599978,32.90452416900007,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
practice_images/w_kitchen2.jpg,8,0,0,8,8,8,,,,,,,,,32.92047584000011,,,,,,,,,,,32.9047973390002,32.90487302600013,32.904884408999806,32.92047584000011,32.92047584000011,33.920499688999826,33.920499688999826,36.9205297489998,36.9205297489998,36.9205297489998,36.9205297489998,36.903954326000076,None,0,None,36.90437074600004,36.904412772999876,,,,,,,,,,,,,,,,,,,,,,61,001,0,,2024-04-16_09h35.26.303,replicate_nsd,2023.2.3,60.616253320875046,2024-04-16 09h35.37.495868 -0400,
