current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,152.63934050299576,,,,,,,,,,,152.6333341980062,152.63338633198873,152.63339305701084,,,,,,,152.63554407900665,None,152.6356482889969,153.42354333700496,lctrl,153.4242328410037,153.42426089401124,None,153.42433553599403,153.42435749800643,None,152.63934050299576,152.63934050299576,153.43089504700038,153.43089504700038,0.4796782949997578,None,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/pair03 copy 7.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,153.43089504700038,,,,,,,,,,,153.42457994198776,153.4246284920082,153.4246351289912,153.43089504700038,153.64627202801057,153.64627202801057,156.64171141499537,156.64171141499537,156.64171141499537,156.62764950998826,None,156.62783535500057,156.62788128000102,None,156.62800807898748,156.62804839998716,None,156.6281629249861,156.6281991720025,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/8_28 copy.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,156.64171141499537,,,,,,,,,,,156.6285748250084,156.6286606139911,156.6286726380058,156.64171141499537,157.64217311199172,157.64217311199172,160.64478490600595,160.64478490600595,160.64478490600595,160.62787706399104,None,160.628034991998,160.6280699869967,None,160.62817249499494,160.6282055019983,None,160.62829747700016,160.62832626799354,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/17_28 copy.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,160.64478490600595,,,,,,,,,,,160.62863358898903,160.62870483400184,160.6287142749934,160.64478490600595,160.98326844500843,160.98326844500843,161.7539469760086,161.7539469760086,161.7539469760086,161.74368423499982,None,161.74387481398298,161.74391645999276,None,161.7440440930077,161.74408529198263,None,161.7442006150086,161.74423713301076,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/pair11 copy 5.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,161.7539469760086,,,,,,,,,,,161.74462382899947,161.74471179000102,161.74472395400517,161.7539469760086,161.97751159398467,161.97751159398467,162.7983365120017,162.7983365120017,162.7983365120017,162.78865914201015,None,162.7889091100078,162.7889716209902,None,162.78913895000005,162.78918374198838,None,162.78930660299375,162.7893445820082,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/pair13.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,162.7983365120017,,,,,,,,,,,162.78972961299587,162.78983538900502,162.7898452639929,162.7983365120017,163.00704687999678,163.00704687999678,163.77713975298684,163.77713975298684,163.77713975298684,163.77027591699152,None,163.77040337299695,163.7704303250066,None,163.77051320500323,163.77053922699997,None,163.77061502999277,163.77063866800745,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/8_28 copy 3.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,163.77713975298684,,,,,,,,,,,163.7708935010014,163.7709508719854,163.77095862900023,163.77713975298684,163.96046919599758,163.96046919599758,164.7351941629895,164.7351941629895,164.7351941629895,164.72658306499943,None,164.72677172499243,164.72681317001116,None,164.7269408039865,164.72698208299698,None,164.72709896799643,164.72713511099573,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/23_40 copy.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,164.7351941629895,,,,,,,,,,,164.72752085400862,164.72760956198908,164.72762193798553,164.7351941629895,165.06069805298466,165.06069805298466,167.84023824500036,167.84023824500036,167.84023824500036,167.834151440009,None,167.83426532600424,167.83428751598694,None,167.8343570200086,167.8343793420063,None,167.83444130499265,167.83446090199868,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/23_40 copy 6.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,167.84023824500036,,,,,,,,,,,167.83467328900588,167.8347217440023,167.8347283519979,167.84023824500036,168.02920940399054,168.02920940399054,168.78114517198992,168.78114517198992,168.78114517198992,168.77293144899886,None,168.77308813799755,168.77312215798884,None,168.77322549300152,168.7732585420017,None,168.77335242799018,168.77338137099287,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/20_40 copy 2.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,168.78114517198992,,,,,,,,,,,168.77369820699096,168.7737685930042,168.77377826499287,168.78114517198992,168.98174473899417,168.98174473899417,169.78942530200584,169.78942530200584,169.78942530200584,169.78200160199776,None,169.78218746799394,169.78222876999644,None,169.78235617198516,169.7823959249945,None,169.78251315499074,169.78254916099831,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
