current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,all_keys_pressed_2.rt,all_keys_pressed_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,all_keys_pressed.rt,all_keys_pressed.duration,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/w_auditorium1.jpg,9,0,,,,,0,9,9,9,,,,,98.51048248900042,,,,,,,,,,,98.49498291800046,98.49506428400036,98.49507244200049,98.51048248900042,98.51048248900042,99.51081301100021,99.51081301100021,102.56069525500061,102.56069525500061,102.56069525500061,102.56069525500061,102.5446056740002,2,0,2.8865582670005097,None,"['1', '2']",102.54540795499997,102.54544944000008,"[0.4037310110006729, 0.7740723189999699]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
blank.jpg,10,1,,,,,0,10,10,10,,,,,102.56069525500061,,,,,,,,,,,102.54571922200012,102.54583690300024,102.54584923600032,,,,,,,,,102.55050529800064,None,0,,,None,102.55091084200012,106.54409686800045,,,102.56069525500061,106.56091501599985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_monument2.jpg,11,0,,,,,0,11,11,11,,,,,106.56091501599985,,,,,,,,,,,106.54447674400035,106.54459602099996,106.5446081,106.56091501599985,106.56091501599985,107.56094819900045,107.56094819900045,110.56099579400052,110.56099579400052,110.56099579400052,110.56099579400052,110.544576968,1,0,2.9615972680003324,None,"['2', '1']",110.5453834509999,110.54542561300059,"[0.2648249449994182, 0.7325943229998302]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_monument1.jpg,12,0,,,,,0,12,12,12,,,,,110.56099579400052,,,,,,,,,,,110.54569950800033,110.5458165630007,110.54582843300068,110.56099579400052,110.56099579400052,111.56119043400031,111.56119043400031,114.5611840850006,114.5611840850006,114.5611840850006,114.5611840850006,114.54488269000012,1,0,2.6527636390001135,None,"['2', '1']",114.54569701499986,114.54573886400067,"[0.29364933899978496, 0.7098020549992725]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_boardwalk2.jpg,13,0,,,,,0,13,13,13,,,,,114.5611840850006,,,,,,,,,,,114.54601447599998,114.54613241200059,114.54614430200036,114.5611840850006,114.5611840850006,115.56123027100057,115.56123027100057,118.56149166400064,118.56149166400064,118.56149166400064,118.56149166400064,118.5450804380007,1,0,2.8872110709999106,None,"['2', '1', '2']",118.54614321600002,118.54618564100019,"[0.020927440000377828, 0.41407037600038166, 0.7661200769998686]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_kitchen1.jpg,14,0,,,,,0,14,14,14,,,,,118.56149166400064,,,,,,,,,,,118.54647505499997,118.54659469700073,118.54660666200016,118.56149166400064,118.56149166400064,119.56139769299989,119.56139769299989,122.56154784299997,122.56154784299997,122.56154784299997,122.56154784299997,122.54513995400066,2,0,2.854276377000133,None,"['2', '1']",122.54595178300042,122.54599405499994,"[0.327051446999576, 0.6589884719996917]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_monument2.jpg,15,0,,,,,0,15,15,15,,,,,122.56154784299997,,,,,,,,,,,122.54626462700071,122.5463827450003,122.54639494599996,122.56154784299997,122.56154784299997,123.56150310000066,123.56150310000066,126.56126976199994,126.56126976199994,126.56126976199994,126.56126976199994,126.545095425,2,0,2.869881441999496,None,"['1', '2']",126.54590762899988,126.54594889000055,"[0.2863233420002871, 0.6241351070002565]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_kitchen2.jpg,16,0,,,,,0,16,16,16,,,,,126.56126976199994,,,,,,,,,,,126.54622111200024,126.54633957399983,126.54635153300023,126.56126976199994,126.56126976199994,127.56058595200011,127.56058595200011,130.56150051199984,130.56150051199984,130.56150051199984,130.56150051199984,130.54511711000032,2,0,2.5582464720000644,None,"['1', '2']",130.5459322200004,130.54597373600063,"[0.18181013000048551, 0.5660585220002758]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_auditorium2.jpg,17,0,,,,,0,17,17,17,,,,,130.56150051199984,,,,,,,,,,,130.54624424400026,130.54636356399988,130.54637591200026,130.56150051199984,130.56150051199984,131.57837421600016,131.57837421600016,134.57836211700032,134.57836211700032,134.57836211700032,134.57836211700032,134.56187002300067,1,0,2.5983468260001246,None,"['1', '2', '1']",134.56266541100013,134.56270537,"[0.06111871799930668, 0.42916519199934555, 0.8091361050001069]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
practice_images/w_boardwalk1.jpg,18,0,,,,,0,18,18,18,,,,,134.57836211700032,,,,,,,,,,,134.56298608500038,134.563100761,134.56311256900062,134.57836211700032,134.57836211700032,135.57835179999984,135.57835179999984,138.57860880299995,138.57860880299995,138.57860880299995,138.57860880299995,138.56220080100047,1,0,2.739316547999806,None,"['2', '1', '2']",138.56300812900008,138.56304897500013,"[0.06658415399942896, 0.4376059520000126, 0.8176843419996658]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
