current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/17_40 copy.jpg,0,21,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,309,309,309,4.522571212000912,,,,,,,,,,,2.226242094009649,2.2263244949863292,2.226329925004393,2.2282618019962683,None,2.2283266549929976,2.22834805000457,None,2.228401214990299,2.2284210479992907,None,2.2284718529845122,2.22849046200281,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/23_12 copy 2.jpg,0,22,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,310,310,310,4.522571212000912,,,,,,,,,,,2.228653892991133,2.2287364460062236,2.2287417440093122,2.2307051999960095,None,2.2307709229935426,2.230792593007209,None,2.2308465520036407,2.230866366007831,None,2.2309169950021897,2.2309354190074373,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair01 copy 3.jpg,0,23,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,311,311,311,4.522571212000912,,,,,,,,,,,2.2310979519970715,2.231182210991392,2.2311876020103227,2.2340648419922218,None,2.2341291820048355,2.2341505569929723,None,2.2342039340001065,2.234223404986551,None,2.234273801004747,2.2342919789953157,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_40 copy 7.jpg,0,24,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,312,312,312,4.522571212000912,,,,,,,,,,,2.234453463985119,2.2345348889939487,2.2345403090002947,2.236765181994997,None,2.2368284050025977,2.236849337001331,None,2.236901203985326,2.236920230992837,None,2.23697070099297,2.236988882010337,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/13_0 copy 5.jpg,0,25,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,313,313,313,4.522571212000912,,,,,,,,,,,2.237149853986921,2.237238466012059,2.2372438040038105,2.2392217360029463,None,2.2392878610116895,2.239309008989949,None,2.2393633959873114,2.2393830209912267,None,2.2394343790074345,2.239452773996163,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/16_12 copy 2.jpg,0,26,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,314,314,314,4.522571212000912,,,,,,,,,,,2.239616967999609,2.2396996849856805,2.239705006009899,2.2416847579879686,None,2.2417484190082178,2.241769663989544,None,2.2418220739928074,2.2418417079898063,None,2.2418918820039835,2.2419103519932833,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/18_0 copy 3.jpg,0,27,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,315,315,315,4.522571212000912,,,,,,,,,,,2.242071580985794,2.2421531389991287,2.242158545006532,2.2440627939940896,None,2.244127081008628,2.2441486819880083,None,2.244202239991864,2.2442221569945104,None,2.2442733669886366,2.2442923130001873,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair07 copy 7.jpg,0,28,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,316,316,316,4.522571212000912,,,,,,,,,,,2.2444555969850626,2.2445371419889852,2.2445426369959023,2.2475941099983174,None,2.247659354994539,2.2476809810032137,None,2.247735267999815,2.247754966985667,None,2.2478066879848484,2.24782554799458,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,29,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,317,317,317,4.522571212000912,,,,,,,,,,,2.247988490998978,2.2480706599890254,2.248075985000469,2.2499755029857624,None,2.250040787010221,2.250062600011006,None,2.25011684600031,2.2501367260119878,None,2.2501885759993456,2.2502073229989037,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair01 copy 4.jpg,0,30,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,318,318,318,4.522571212000912,,,,,,,,,,,2.250371803995222,2.2504651620110963,2.250470803992357,2.253371878992766,None,2.253436762985075,2.2534577829937916,None,2.2535111519973725,2.2535307359939907,None,2.2535817849857267,2.2536004149878863,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/21_0 copy 7.jpg,0,31,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,319,319,319,4.522571212000912,,,,,,,,,,,2.253764613007661,2.2538557979860343,2.253861187986331,2.2562118970090523,None,2.2562763289897703,2.2562978719943203,None,2.256351515010465,2.2563709359965287,None,2.2564222369983327,2.256440458004363,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/17_12 copy 5.jpg,0,32,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,320,320,320,4.522571212000912,,,,,,,,,,,2.2566038460063282,2.2566853890020866,2.2566906489955727,2.258672327006934,None,2.2587366189982276,2.258757809002418,None,2.258811030013021,2.2588300239876844,None,2.2588811099994928,2.258899140986614,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_40 copy 5.jpg,0,33,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,321,321,321,4.522571212000912,,,,,,,,,,,2.2590624720032793,2.259144045994617,2.2591494049993344,2.2607814949878957,None,2.2608454590081237,2.2608667539898306,None,2.260919981985353,2.2609396940097213,None,2.2609903659904376,2.261009098991053,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/20_12.jpg,0,34,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,322,322,322,4.522571212000912,,,,,,,,,,,2.261174765008036,2.261256183992373,2.2612614129902795,2.263155241002096,None,2.2632198790088296,2.263241109001683,None,2.263294667995069,2.2633141860133037,None,2.2633655790123157,2.2633843079966027,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/18_12 copy 4.jpg,0,35,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,323,323,323,4.522571212000912,,,,,,,,,,,2.263548262999393,2.2636372479901183,2.2636427149991505,2.2652308339893352,None,2.265295318007702,2.2653168329852633,None,2.265370126988273,2.265389436011901,None,2.2654402990010567,2.265459196991287,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/19_40 copy 6.jpg,0,36,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,324,324,324,4.522571212000912,,,,,,,,,,,2.2656239620118868,2.265705941012129,2.2657113900058903,2.2676837210019585,None,2.2677481319988146,2.2677695830061566,None,2.2678230899909977,2.2678425170015544,None,2.2678940469922964,2.267912414012244,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair05 copy 6.jpg,0,37,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,325,325,325,4.522571212000912,,,,,,,,,,,2.268076637003105,2.2681657079956494,2.2681711390032433,2.270825209998293,None,2.2708893989911303,2.2709108669951092,None,2.270963829010725,2.270983319001971,None,2.271034401986981,2.271052605996374,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/12_40 copy 5.jpg,0,38,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,326,326,326,4.522571212000912,,,,,,,,,,,2.271216300985543,2.2713059119996615,2.2713114630023483,2.273595792008564,None,2.273660169012146,2.273681853985181,None,2.2737345490022562,2.2737542009854224,None,2.2738051649939734,2.2738234300049953,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,39,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,327,327,327,4.522571212000912,,,,,,,,,,,2.2739864680042956,2.2740693539963104,2.274074813001789,2.275621520995628,None,2.275686192995636,2.275707650987897,None,2.2757608400133904,2.2757798719976563,None,2.2758298100088723,2.2758477049937937,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_0 copy 7.jpg,0,40,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,328,328,328,4.522571212000912,,,,,,,,,,,2.2760073250101414,2.276097169989953,2.2761024580104277,2.2779719890095294,None,2.2780343529884703,2.2780551339965314,None,2.2781078740081284,2.278127024008427,None,2.2781773780006915,2.278195813007187,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/9_40 copy.jpg,0,41,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,329,329,329,4.522571212000912,,,,,,,,,,,2.2783564240089618,2.2784375459887087,2.2784429150051437,2.2803738529910333,None,2.2804388260119595,2.280460807000054,None,2.2805136420065537,2.2805331140116323,None,2.280584325984819,2.280603341991082,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/22_40 copy 4.jpg,0,42,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,330,330,330,4.522571212000912,,,,,,,,,,,2.280766443000175,2.2808616360125598,2.2808671169914305,2.2827441550034564,None,2.2828077859885525,2.28282920998754,None,2.2828821029979736,2.282901784987189,None,2.2829522489919327,2.282970206986647,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/13_0 copy 2.jpg,0,43,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,331,331,331,4.522571212000912,,,,,,,,,,,2.2831293439958245,2.2832612660131417,2.2832667010079604,2.285158409998985,None,2.285220918012783,2.2852425359888002,None,2.2852946519851685,2.285313773987582,None,2.285363639006391,2.285381895984756,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/20_0.jpg,0,44,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,332,332,332,4.522571212000912,,,,,,,,,,,2.2855425490124617,2.2856234909850173,2.285628779005492,2.2873789120058063,None,2.287442145985551,2.2874633980100043,None,2.2875165379955433,2.287536004994763,None,2.2875861169886775,2.2876043469877914,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/14_28 copy 5.jpg,0,45,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,333,333,333,4.522571212000912,,,,,,,,,,,2.287764603999676,2.2878459219937213,2.2878736610000487,2.3027043030015193,None,2.302773523988435,2.3027950639952905,None,2.3028487499977928,2.3028687339974567,None,2.302919465000741,2.3029383280081674,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/18_40 copy 5.jpg,0,46,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,334,334,334,4.522571212000912,,,,,,,,,,,2.303101997997146,2.3031863659853116,2.303191760001937,2.305108881992055,None,2.3051743250107393,2.305196025990881,None,2.305249291996006,2.3052684729918838,None,2.3053188910125755,2.3053371550049633,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair01 copy 5.jpg,0,47,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,335,335,335,4.522571212000912,,,,,,,,,,,2.3055050149851013,2.3055873019911814,2.3055928329995368,2.3088424890011083,None,2.308909384999424,2.308931039995514,None,2.3089850659889635,2.309004874987295,None,2.3090561289864127,2.309074774006149,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_0 copy 4.jpg,0,48,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,336,336,336,4.522571212000912,,,,,,,,,,,2.3092375629930757,2.309319924999727,2.3093252399994526,2.3117608139873482,None,2.3118272440042347,2.311848473007558,None,2.311903010995593,2.3119222869863734,None,2.3119729649915826,2.3119911460089497,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,49,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,337,337,337,4.522571212000912,,,,,,,,,,,2.3121543769957498,2.3122372039943,2.312242537998827,2.3138312470109668,None,2.3138968459970783,2.313918313011527,None,2.3139714610006195,2.3139908259909134,None,2.3140415769885294,2.314059919997817,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair06 copy 6.jpg,0,50,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,338,338,338,4.522571212000912,,,,,,,,,,,2.31422313398798,2.314306154003134,2.31431146999239,2.316947320010513,None,2.317014463013038,2.3170360010117292,None,2.317090720986016,2.3171101699990686,None,2.317161446000682,2.3171799480041955,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair17 copy 3.jpg,0,51,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,339,339,339,4.522571212000912,,,,,,,,,,,2.3173460830003023,2.317428253008984,2.3174335880030412,2.320202345988946,None,2.320268245006446,2.320289714989485,None,2.3203428580018226,2.320362060010666,None,2.3204127849894576,2.3204311139998026,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/16_40 copy.jpg,0,52,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,340,340,340,4.522571212000912,,,,,,,,,,,2.3205997810000554,2.3207116670091636,2.3207174249982927,2.3226088380033616,None,2.3226756149961147,2.3226971440017223,None,2.3227515179896727,2.322771195002133,None,2.3228222760080826,2.3228401750093326,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/16_12 copy.jpg,0,53,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,341,341,341,4.522571212000912,,,,,,,,,,,2.3230043610092252,2.3230865619843826,2.3230921080103144,2.325164206995396,None,2.3252306699869223,2.325252270005876,None,2.325305418984499,2.3253246870008297,None,2.325374734005891,2.325393251987407,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/12_40 copy 4.jpg,0,54,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,342,342,342,4.522571212000912,,,,,,,,,,,2.3255567599844653,2.325639056012733,2.325644475989975,2.3275376060046256,None,2.327603335987078,2.327625181991607,None,2.3276783949986566,2.3276979250076693,None,2.3277484239952173,2.3277668970113155,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_12 copy.jpg,0,55,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,343,343,343,4.522571212000912,,,,,,,,,,,2.3279302600130904,2.328012601006776,2.3280178330023773,2.3299673279980198,None,2.3300331289938185,2.330056999984663,None,2.330111647985177,2.3301314619893674,None,2.330182717007119,2.330201714008581,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/17_0 copy 2.jpg,0,56,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,344,344,344,4.522571212000912,,,,,,,,,,,2.330365238012746,2.3304471879964694,2.3304525289859157,2.3323691640107427,None,2.3324349710019305,2.332456236006692,None,2.332509667990962,2.332529147999594,None,2.332579792011529,2.3325981599919032,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair11 copy 6.jpg,0,57,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,345,345,345,4.522571212000912,,,,,,,,,,,2.3327593790018,2.332841039984487,2.332846295001218,2.3354373229958583,None,2.3355033679981716,2.335524378984701,None,2.335577772988472,2.3355969009862747,None,2.335647741012508,2.3356658770062495,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/8_12 copy.jpg,0,58,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,346,346,346,4.522571212000912,,,,,,,,,,,2.335828000010224,2.335909563000314,2.335915053001372,2.3380062530050054,None,2.3380718039989006,2.3380930710118264,None,2.338146502006566,2.338165836990811,None,2.3382166149967816,2.338235083996551,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,59,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,347,347,347,4.522571212000912,,,,,,,,,,,2.3383998580102343,2.3384819210041314,2.3384872830065433,2.340069964004215,None,2.3401356140093412,2.340157189988531,None,2.3402108199952636,2.340230011002859,None,2.3402810500119813,2.340299394010799,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/22_12.jpg,0,60,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,348,348,348,4.522571212000912,,,,,,,,,,,2.3404616769985296,2.340543936006725,2.340549340005964,2.342276931012748,None,2.342342521995306,2.3423638950043824,None,2.342417228006525,2.34243628900731,None,2.342486662993906,2.342504881991772,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/16_40.jpg,0,61,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,349,349,349,4.522571212000912,,,,,,,,,,,2.3426668379979674,2.342749603994889,2.342755138000939,2.344683889998123,None,2.3447500850015786,2.3447715989896096,None,2.3448255530092865,2.3448447400005534,None,2.3448954109917395,2.3449136420094874,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/21_28 copy 6.jpg,0,62,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,350,350,350,4.522571212000912,,,,,,,,,,,2.3450750859919935,2.345157433010172,2.345162760000676,2.3470341940119397,None,2.347100198006956,2.347121786006028,None,2.34717560900026,2.3471953170082998,None,2.347246082004858,2.347264151001582,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair07.jpg,0,63,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,351,351,351,4.522571212000912,,,,,,,,,,,2.3474265649856534,2.347509129001992,2.3475146149867214,2.3506221270072274,None,2.3506896269973367,2.3507109679921996,None,2.3507651060062926,2.3507843969855458,None,2.350835243007168,2.3508534609864,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_12 copy 6.jpg,0,64,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,352,352,352,4.522571212000912,,,,,,,,,,,2.3510184549959376,2.351101981010288,2.3511074210109655,2.353532451990759,None,2.3535990369855426,2.3536201890092343,None,2.3536737549875397,2.3536929709953256,None,2.3537433999881614,2.3537617060064804,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/17_0.jpg,0,65,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,353,353,353,4.522571212000912,,,,,,,,,,,2.3539258489909116,2.354008080001222,2.354013414005749,2.3560157530009747,None,2.3560817549878266,2.356103345984593,None,2.3561569250014145,2.356176356988726,None,2.356226839008741,2.356245328002842,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/13_40 copy 2.jpg,0,66,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,354,354,354,4.522571212000912,,,,,,,,,,,2.356410890992265,2.3564932139997836,2.3564987179997843,2.3584017110115383,None,2.3584672040014993,2.358488641009899,None,2.3585420839954168,2.358561388013186,None,2.358612209005514,2.3586304819909856,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/22_40 copy 6.jpg,0,67,0,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,355,355,355,4.522571212000912,,,,,,,,,,,2.3587945550098084,2.3588756670069415,2.3588810279907193,2.360815725987777,None,2.360881184984464,2.3609024439938366,None,2.360955763986567,2.3609750629984774,None,2.361025176011026,2.3610435659938958,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,68,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,356,356,356,4.522571212000912,,,,,,,,,,,2.36120604298776,2.361288751999382,2.36129427398555,2.3628026520018466,None,2.362867986987112,2.362889529991662,None,2.362942709005438,2.3629622340085916,None,2.3630123950133566,2.3630306069971994,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,69,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,357,357,357,4.522571212000912,,,,,,,,,,,2.3631931580021046,2.363275937997969,2.3632814929878805,2.364784678997239,None,2.3648509240010753,2.364872670004843,None,2.3649262959952466,2.3649456390121486,None,2.3649966079974547,2.365014795010211,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,70,1,0,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,358,358,358,4.522571212000912,,,,,,,,,,,2.36517811199883,2.3652602559886873,2.3652656660124194,2.3667759360105265,None,2.3668413989944384,2.366863023984479,None,2.366916349012172,2.366935703001218,None,2.3669867150019854,2.36700505099725,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,71,1,1,4,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,359,359,359,4.522571212000912,,,,,,,,,,,2.367167355987476,2.367249364993768,2.3672546239977237,2.3687542990082875,None,2.3688204440113623,2.368842127994867,None,2.368922172987368,2.3689425560005475,None,2.3689949059917126,2.3690137329977006,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair09 copy 2.jpg,0,0,0,0,5,"[9, 20, 30, 44, 56, 68, 69, 70, 71]",0,360,360,360,4.522571212000912,,,,,,,,,,,2.3691787410061806,2.369261337997159,2.369266735011479,2.3715735920122825,None,2.3716402210120577,2.371661579993088,None,2.371715151995886,2.371734504995402,None,2.3717856589937583,2.3718039839877747,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/12_28 copy 5.jpg,0,1,0,0,5,"[9, 20, 30, 44, 56, 68, 69, 70, 71]",0,361,361,361,4.522571212000912,,,,,,,,,,,2.3719675320026,2.3720499479968566,2.372055445011938,2.374158397986321,None,2.374224266008241,2.374245545011945,None,2.3742995079956017,2.374318846006645,None,2.3743698879843578,2.374388147989521,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/9_12 copy 3.jpg,0,2,0,0,5,"[9, 20, 30, 44, 56, 68, 69, 70, 71]",0,362,362,362,4.522571212000912,,,,,,,,,,,2.3745504429971334,2.3746324359963182,2.3746378459909465,2.3766731880023144,None,2.3767396539915353,2.3767607159970794,None,2.376814644987462,2.3768338630034123,None,2.376884836005047,2.3769028979877476,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/13_12 copy 7.jpg,0,3,0,0,5,"[9, 20, 30, 44, 56, 68, 69, 70, 71]",0,363,363,363,4.522571212000912,,,,,,,,,,,2.3770664389885496,2.37714861400309,2.3771540920133702,2.379104778985493,None,2.3791710789955687,2.379192566004349,None,2.379246375989169,2.3792660069884732,None,2.379317462007748,2.3793356370006222,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair03 copy.jpg,0,4,0,0,5,"[9, 20, 30, 44, 56, 68, 69, 70, 71]",0,364,364,364,4.522571212000912,,,,,,,,,,,2.3794998110097367,2.3795908729953226,2.3795963659940753,2.382367673999397,None,2.3824353480013087,2.3824571679870132,None,2.3825116039952263,2.3825311379914638,None,2.382582708989503,2.38260108299437,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
