current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,press_if_repeat.rt,press_if_repeat.duration,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,37.83626000500044,,,,,,,,,,,37.8265775130003,37.826647580999634,37.82665526100027,,,,,,,37.83124945000054,None,0,37.831416732000434,41.818540745000064,1,41.8197043250002,41.82768475699959,None,41.82777933699981,41.82780370799992,None,,,37.83626000500044,37.83626000500044,41.83950429600009,41.83950429600009,2.09211928699915,None,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/8_28 copy 4.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,41.83950429600009,,,,,,,,,,,41.82806221399915,41.82813728399924,41.828145317000235,41.83950429600009,42.8326788079994,42.8326788079994,45.83475457299937,45.83475457299937,45.83475457299937,45.81814444199881,"['1', '1', '1', '1', '1', '1', '1']",0,45.81869356400057,45.81874238599994,None,45.81885128199974,45.81891398100015,None,45.81901797299906,45.81905218599968,None,"[0.18767639600082475, 0.42371592900053656, 0.6516741779996664, 0.863744525000584, 1.1437005450006836, 1.3757074220011418, 1.5956907640011195]","[None, None, None, None, None, None, None]",,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/8_12 copy 4.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,45.83475457299937,,,,,,,,,,,45.8194044819993,45.81950264199986,45.81951393300005,45.83475457299937,46.83360892099881,46.83360892099881,49.833194120999906,49.833194120999906,49.833194120999906,49.816626824000195,['1'],0,49.81691380399934,49.816936498998984,None,49.816990191000514,49.822715936999884,None,49.82278521099943,49.82280345300023,None,[0.8867637140010629],[None],,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair04 copy 7.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,49.833194120999906,,,,,,,,,,,49.82299105099992,49.82304627299891,49.823051956998825,49.833194120999906,50.83395187499991,50.83395187499991,52.136415898999985,52.136415898999985,52.136415898999985,52.121752524999465,None,0,52.12199499499911,52.12202509400049,None,52.12210473199957,52.12869056599993,None,52.12878494399956,52.128807166000115,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/23_12 copy 3.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,52.136415898999985,,,,,,,,,,,52.12904071099911,52.12911049200011,52.129117422999116,52.136415898999985,52.323953809998784,52.323953809998784,52.97763663600017,52.97763663600017,52.97763663600017,52.96583057600037,None,0,52.96599337000043,52.96601375299906,None,52.9660675060004,52.970550804000595,None,52.97061602099893,52.97063299000001,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/24_40.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,52.97763663600017,,,,,,,,,,,52.97081117199923,52.970859421999194,52.970865097999194,52.97763663600017,53.16296767399945,53.16296767399945,53.82641734199933,53.82641734199933,53.82641734199933,53.81316762700044,None,0,53.81333314800031,53.81335394099915,None,53.81340891199943,53.81815359400025,None,53.81822071299939,53.818238341000324,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair08 copy 6.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,53.82641734199933,,,,,,,,,,,53.81842293400041,53.81847201999881,53.818477384998914,53.82641734199933,54.00796534999972,54.00796534999972,54.65635132999887,54.65635132999887,54.65635132999887,54.64422753500003,None,0,54.644419734999246,54.64444233500035,None,54.64450173200021,54.64952251700015,None,54.64959482300037,54.64961440299885,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/13_12 copy 6.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,54.65635132999887,,,,,,,,,,,54.649814633999995,54.64986826799941,54.649874302998796,54.65635132999887,54.83816552499957,54.83816552499957,55.477290105000066,55.477290105000066,55.477290105000066,55.46579398100039,None,0,55.46596391499952,55.46598489099961,None,55.46604044199921,55.470985513000414,None,55.471055771000465,55.471074305,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/23_28 copy 7.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,55.477290105000066,,,,,,,,,,,55.47126739499981,55.471318718000475,55.471324561000074,55.477290105000066,55.66001952700026,55.66001952700026,56.299388117999115,56.299388117999115,56.299388117999115,56.286455716999626,None,0,56.28662832500049,56.286650236999776,None,56.28670836399942,56.29136615800053,None,56.29143523899984,56.29145382599927,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair15 copy 5.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,56.299388117999115,,,,,,,,,,,56.29164487299931,56.29169594599989,56.291701684000145,56.299388117999115,56.48813609799981,56.48813609799981,57.12747587599915,57.12747587599915,57.12747587599915,57.115290371999436,None,0,57.11547142999916,57.115494415000285,None,57.115555262998896,57.12063484600003,None,57.120706939998854,57.12072648299909,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,57.12747587599915,,,,,,,,,,,57.120927996998944,57.12098182599948,57.12098802999935,,,,,,,57.12371605699991,None,0,57.123845918998995,57.86209644799965,None,57.862195102999976,57.867811834999884,None,57.86789126199983,57.86790876699888,None,,,57.12747587599915,57.12747587599915,57.87407247199917,57.87407247199917,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/19_28 copy 5.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,57.87407247199917,,,,,,,,,,,57.8680993149992,57.86815684099929,57.8681627269998,57.87407247199917,58.058049879000464,58.058049879000464,58.692316478000066,58.692316478000066,58.692316478000066,58.68595868599914,None,0,58.68614555699969,58.686167346999355,None,58.686239094000484,58.68626998599939,None,58.68632190700009,58.68633810499887,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/18_40 copy 3.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,58.692316478000066,,,,,,,,,,,58.6865141039998,58.68656098199972,58.68656643000031,58.692316478000066,58.876589622999745,58.876589622999745,59.521516511998925,59.521516511998925,59.521516511998925,59.507927306000056,None,0,59.50809497699993,59.50811563000025,None,59.50817044500036,59.513017634999414,None,59.513084599999274,59.513102216000334,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair18 copy 5.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,59.521516511998925,,,,,,,,,,,59.513286504999996,59.51333559900013,59.51334132900047,59.521516511998925,59.70531882399882,59.70531882399882,60.348229023000385,60.348229023000385,60.348229023000385,60.33540718999939,None,0,60.33559586800038,60.335619735000364,None,60.33568199599904,60.341031058000226,None,60.34110689899899,60.34112656999969,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair07 copy.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,60.348229023000385,,,,,,,,,,,60.34134998599984,60.34140660899902,60.34141324099983,60.348229023000385,60.531518802999926,60.531518802999926,61.176256024000395,61.176256024000395,61.176256024000395,61.16379597100058,None,0,61.16396866499963,61.163990201999695,None,61.16404775400042,61.16901602100006,None,61.16908797999895,61.16910708499927,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/22_40.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,61.176256024000395,,,,,,,,,,,61.16930309300005,61.16935909200038,61.16936512099892,61.176256024000395,61.35930284799906,61.35930284799906,62.00126429999909,62.00126429999909,62.00126429999909,61.98955756699979,None,0,61.98973699899943,61.98976034299994,None,61.989826555000036,61.994884134999666,None,61.99495746299908,61.99497657699976,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/16_0 copy 2.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,62.00126429999909,,,,,,,,,,,61.99517821399968,61.9952315649989,61.99523774699992,62.00126429999909,62.18514686999879,62.18514686999879,62.82310529999995,62.82310529999995,62.82310529999995,62.81125266100025,None,0,62.81145551100053,62.81147769400013,None,62.81154397099999,62.81674937899879,None,62.81682081299914,62.816839574999904,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/20_12 copy 5.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,62.82310529999995,,,,,,,,,,,62.81703608299904,62.817088546999,62.817094641999574,62.82310529999995,63.00436353399891,63.00436353399891,63.645709305999844,63.645709305999844,63.645709305999844,63.6345374499997,None,0,63.6347015249994,63.6347216209997,None,63.63477542500004,63.63925761899918,None,63.63932378999925,63.639341292999234,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/9_12 copy 6.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,63.645709305999844,,,,,,,,,,,63.63952076100031,63.639569117000065,63.639574636999896,63.645709305999844,63.82840555599978,63.82840555599978,64.47293765900031,64.47293765900031,64.47293765900031,64.4621191089991,None,0,64.46229060299993,64.46231210099904,None,64.46236787899943,64.46730061500057,None,64.4673684850004,64.46738643999925,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/13_12 copy 3.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,64.47293765900031,,,,,,,,,,,64.46757319300013,64.46762402199965,64.4676298989998,64.47293765900031,64.65854352600036,64.65854352600036,65.30032966199906,65.30032966199906,65.30032966199906,65.28853827800049,None,0,65.2887364369999,65.28876273400056,None,65.28883088899966,65.29442383599962,None,65.29450657000052,65.29452839199985,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,65.30032966199906,,,,,,,,,,,65.29475675899994,65.2948175069996,65.29482446399925,,,,,,,65.29639962699912,None,0,65.29654077299892,66.02841159499985,None,66.02851092899982,66.03361110399965,None,66.03368480499921,66.03370379700027,None,,,65.30032966199906,65.30032966199906,66.03982726499999,66.03982726499999,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/19_12 copy 4.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,30,30,30,66.03982726499999,,,,,,,,,,,66.03390171499996,66.03395762599939,66.03396361900013,66.03982726499999,66.22252862099958,66.22252862099958,66.85834900999907,66.85834900999907,66.85834900999907,66.85192351899968,None,0,66.85210335599913,66.85212690699882,None,66.85218783299933,66.85222059899934,None,66.85227821099943,66.8522961919989,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/11_0 copy 7.jpg,0,31,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,31,31,31,66.85834900999907,,,,,,,,,,,66.85248999099895,66.85254114499912,66.85254725699997,66.85834900999907,67.04071739199935,67.04071739199935,67.6865916379993,67.6865916379993,67.6865916379993,67.67454335199909,None,0,67.67473116099973,67.6747553109999,None,67.67481774899898,67.68004818599911,None,67.68012493099923,67.68014529399989,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/8_0 copy 3.jpg,0,32,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,32,32,32,67.6865916379993,,,,,,,,,,,67.6803567120005,67.68042972799958,67.68043626600047,67.6865916379993,67.87015315700046,67.87015315700046,68.51827255599892,68.51827255599892,68.51827255599892,68.50510940899949,None,0,68.50529632799953,68.50532077800017,None,68.50538428999971,68.51074420499936,None,68.510822885999,68.51084421399901,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/pair08.jpg,0,33,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,33,33,33,68.51827255599892,,,,,,,,,,,68.51106251999954,68.5111206370002,68.51112720899982,68.51827255599892,68.70212328399975,68.70212328399975,69.34506497700022,69.34506497700022,69.34506497700022,69.33356843599904,None,0,69.3337617899997,69.33378680699934,None,69.33385362300032,69.33923846700054,None,69.33931642199968,69.33933736200015,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/13_12 copy 3.jpg,1,34,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,34,34,34,69.34506497700022,,,,,,,,,,,69.33955112399963,69.3396099799993,69.3396167259998,69.34506497700022,69.53133224900012,69.53133224900012,70.17476171700037,70.17476171700037,70.17476171700037,70.16284236799947,None,0,70.16302493299918,70.16304825000043,None,70.16310940199946,70.16834227599975,None,70.16841715199917,70.16843676200006,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
images/6_28 copy 7.jpg,0,35,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,35,35,35,70.17476171700037,,,,,,,,,,,70.16864172100031,70.16869696200047,70.16870322499926,70.17476171700037,70.35632821199943,70.35632821199943,71.00210799100023,71.00210799100023,71.00210799100023,70.99068187100056,None,0,70.99087449800027,70.99089657900004,None,70.9909519720004,70.99630394799897,None,70.99637657200037,70.9963945290001,None,,,,,,,,,5,001,0,,2024-04-11_15h23.06.310,replicate_nsd,2023.2.3,59.90438529221281,2024-04-11 15h23.18.007027 -0400,
