current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,all_keys_pressed_2.rt,all_keys_pressed_2.duration,blank_trial_2.started,blank_trial_2.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/14_12 copy.jpg,9,0,,,,,0,9,9,9,,,,,38.00530523300017,,,,,,,,,,,37.990007733000084,37.99009545700005,37.990106978000085,38.00530523300017,38.00530523300017,39.005460374999984,39.005460374999984,42.05481639699997,42.05481639699997,42.05481639699997,42.05481639699997,42.03802973699999,2,0,None,,,42.038656587000105,42.03868984300016,2.824772682999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/blank.jpg,10,1,,,,,0,10,10,10,,,,,42.05481639699997,,,,,,,,,,,42.038910373000135,42.038980289000165,42.038989868000044,,,,,,,,,42.04126263400008,None,0,None,,,42.041545985000084,46.038389769000105,,,42.05481639699997,46.055210115000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/21_40 copy 5.jpg,11,0,,,,,0,11,11,11,,,,,46.055210115000136,,,,,,,,,,,46.03870660100006,46.03877857600014,46.03878809399998,46.055210115000136,46.055210115000136,47.05543412300017,47.05543412300017,50.05520489700007,50.05520489700007,50.05520489700007,50.05520489700007,50.03886712799999,2,0,None,,,50.039720233000025,50.03976405100002,2.0909025020000627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/9_12 copy 6.jpg,12,0,,,,,0,12,12,12,,,,,50.05520489700007,,,,,,,,,,,50.040045842000154,50.04013449100012,50.040146019000076,50.05520489700007,50.05520489700007,51.05544465800017,51.05544465800017,54.055281597999965,54.055281597999965,54.055281597999965,54.055281597999965,54.03922186199998,1,0,None,,,54.039813159999994,54.03985574400008,2.9389601759999096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/8_40 copy 3.jpg,13,0,,,,,0,13,13,13,,,,,54.055281597999965,,,,,,,,,,,54.040130181999984,54.04022088700003,54.04023238700006,54.055281597999965,54.055281597999965,55.055520088000094,55.055520088000094,58.055109164999976,58.055109164999976,58.055109164999976,58.055109164999976,58.03826596099998,2,0,None,,,58.038745168000105,58.03877722700008,2.5588781129999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/7_0 copy 2.jpg,14,0,,,,,0,14,14,14,,,,,58.055109164999976,,,,,,,,,,,58.03899822000017,58.03906787599999,58.03907720999996,58.055109164999976,58.055109164999976,59.05524458800005,59.05524458800005,62.055441399000074,62.055441399000074,62.055441399000074,62.055441399000074,62.03892467100013,1,0,None,,,62.03951450800014,62.03955461800001,2.703141206000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/17_28.jpg,15,0,,,,,0,15,15,15,,,,,62.055441399000074,,,,,,,,,,,62.039829134,62.03991638399998,62.03992799499997,62.055441399000074,62.055441399000074,63.055444007999995,63.055444007999995,66.05513683499998,66.05513683499998,66.05513683499998,66.05513683499998,66.03857221800013,1,0,None,,,66.03918086400017,66.0392254840001,2.6869478149999395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/pair03 copy 7.jpg,16,0,,,,,0,16,16,16,,,,,66.05513683499998,,,,,,,,,,,66.03950351200001,66.03959523900016,66.03960732700011,66.05513683499998,66.05513683499998,67.05542310100009,67.05542310100009,70.05519201400011,70.05519201400011,70.05519201400011,70.05519201400011,70.03918372199996,2,0,None,,,70.03977222499998,70.03981258800013,2.9508130359999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/14_40.jpg,17,0,,,,,0,17,17,17,,,,,70.05519201400011,,,,,,,,,,,70.04008337599998,70.04017051400001,70.04018209200012,70.05519201400011,70.05519201400011,71.05529562000015,71.05529562000015,74.05523248000009,74.05523248000009,74.05523248000009,74.05523248000009,74.03869076900014,1,0,None,,,74.03927760900001,74.03931755899998,2.523088873000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/23_40 copy 3.jpg,18,0,,,,,0,18,18,18,,,,,74.05523248000009,,,,,,,,,,,74.03959134800016,74.03992610399996,74.03993919799996,74.05523248000009,74.05523248000009,75.05538877000004,75.05538877000004,78.05483356200011,78.05483356200011,78.05483356200011,78.05483356200011,78.03878228600001,2,0,None,,,78.03937304500005,78.03941377600017,2.92300315600005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
