current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.rt,all_keys_pressed_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.rt,all_keys_pressed.duration,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/paired_image_29_1.png,9,0,,,,,0,9,9,9,,,,,42.57431545399959,,,,,,,,,,,42.55819616900044,42.55828023099821,42.55829173999882,42.57431545399959,42.57431545399959,43.57427544699749,43.57427544699749,46.57423114199992,46.57423114199992,46.57423114199992,46.57423114199992,46.55803664699852,None,0,None,46.55848028999753,46.558524420997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
blank.jpg,10,1,,,,,0,10,10,10,,,,,46.57423114199992,,,,,,,,,,,46.558802482999454,46.558892860000924,46.55890440899748,,,,,,,,,46.56203608699798,None,0,None,46.562333021000086,50.60721833199932,46.57423114199992,50.62404432499898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_28_1.png,11,0,,,,,0,11,11,11,,,,,50.62404432499898,,,,,,,,,,,50.6076000619978,50.60768357900088,50.607695612998214,50.62404432499898,50.62404432499898,51.62459343299997,51.62459343299997,54.62349820500094,54.62349820500094,54.62349820500094,54.62349820500094,54.60781117899751,None,0,None,54.60823964500014,54.60828097099875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_36_2.png,12,0,,,,,0,12,12,12,,,,,54.62349820500094,,,,,,,,,,,54.608559968997724,54.60864662699896,54.60865835699951,54.62349820500094,54.62349820500094,55.624417705999804,55.624417705999804,58.62356876600097,58.62356876600097,58.62356876600097,58.62356876600097,58.606875781999406,None,0,None,58.60711073600032,58.60713352300081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_6_2.png,13,0,,,,,0,13,13,13,,,,,58.62356876600097,,,,,,,,,,,58.60729126499791,58.607339463000244,58.60734614000103,58.62356876600097,58.62356876600097,59.6243780650002,59.6243780650002,62.62410683100097,62.62410683100097,62.62410683100097,62.62410683100097,62.60782480999842,None,0,None,62.608251358000416,62.608291063999786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_33_1.png,14,0,,,,,0,14,14,14,,,,,62.62410683100097,,,,,,,,,,,62.60857411399775,62.608660555000824,62.60867249799776,62.62410683100097,62.62410683100097,63.6232495439981,63.6232495439981,66.62350839999999,66.62350839999999,66.62350839999999,66.62350839999999,66.60815230200024,None,0,None,66.60882512099852,66.60886623099941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_27_1.png,15,0,,,,,0,15,15,15,,,,,66.62350839999999,,,,,,,,,,,66.60914462499932,66.60923121299857,66.60924300899933,66.62350839999999,66.62350839999999,67.62430668500019,67.62430668500019,70.62381307000032,70.62381307000032,70.62381307000032,70.62381307000032,70.60788647300069,None,0,None,70.60831198500091,70.60835226400013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_24_1.png,16,0,,,,,0,16,16,16,,,,,70.62381307000032,,,,,,,,,,,70.60863151299782,70.6087197529996,70.60873173299842,70.62381307000032,70.62381307000032,71.62437059899821,71.62437059899821,74.6240874119976,74.6240874119976,74.6240874119976,74.6240874119976,74.60794939100015,None,0,None,74.6082937559986,74.60832541899799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_21_2.png,17,0,,,,,0,17,17,17,,,,,74.6240874119976,,,,,,,,,,,74.60855156300022,74.60864376799873,74.60865562499748,74.6240874119976,74.6240874119976,75.62466275599945,75.62466275599945,78.62412393399791,78.62412393399791,78.62412393399791,78.62412393399791,78.60811144800027,None,0,None,78.60853832800058,78.60857793700052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
practice_images/paired_image_15_1.png,18,0,,,,,0,18,18,18,,,,,78.62412393399791,,,,,,,,,,,78.60885636899911,78.60894224499862,78.60895387299752,78.62412393399791,78.62412393399791,79.62464574700061,79.62464574700061,82.62410305500089,82.62410305500089,82.62410305500089,82.62410305500089,82.60810341699835,1,0,None,82.6088761539977,82.60891823299971,,,2.9371838080005546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
