current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03238269599387422,0.03254226001445204,0.03255567100131884,0.042179857002338395,0.042179857002338395,1.719130965997465,5,1.660505968000507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/6_28 copy 2.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,1.8410571340064052,,,,,,,,,,,1.7960365769977216,1.7961380039923824,1.7961450570146553,1.8410571340064052,2.8186511560052168,2.8186511560052168,5.817691948002903,5.817691948002903,5.817691948002903,5.801343977014767,None,5.802039136993699,5.802068021992454,None,5.802572806016542,5.802601830015192,None,5.803093377995538,5.803119329997571,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/10_40 copy 4.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.817691948002903,,,,,,,,,,,5.803769677004311,5.803877833997831,5.8038846389972605,5.817691948002903,6.817149089998566,6.817149089998566,9.818488306016661,9.818488306016661,9.818488306016661,9.801979512994876,None,9.802167051995639,9.802209742018022,None,9.802337660017656,9.80237673400552,None,9.802494055009447,9.802529212000081,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/5_40 copy 5.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,9.818488306016661,,,,,,,,,,,9.802927910001017,9.803160166018642,9.803172290005023,9.818488306016661,10.817563557007816,10.817563557007816,13.817875252017984,13.817875252017984,13.817875252017984,13.801871028001187,None,13.80206015901058,13.802102971996646,None,13.802229863998946,13.802270115003921,None,13.802387439995073,13.802422951994231,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/10_0 copy 6.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,13.817875252017984,,,,,,,,,,,13.802821148012299,13.802994743018644,13.803006767004263,13.817875252017984,14.818600102007622,14.818600102007622,17.05825278701377,17.05825278701377,17.05825278701377,17.04984515401884,None,17.049996437999653,17.050030345999403,None,17.05013287899783,17.050164253014373,None,17.05025728099281,17.050286250014324,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/10_0 copy 3.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,17.05825278701377,,,,,,,,,,,17.05059508001432,17.05073450601776,17.050743820000207,17.05825278701377,17.27748614200391,17.27748614200391,17.97217250801623,17.97217250801623,17.97217250801623,17.964141517993994,None,17.964239894005004,17.964259956002934,None,17.96432018702035,17.964339227008168,None,17.96439326700056,17.96441065601539,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/5_28 copy 3.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,17.97217250801623,,,,,,,,,,,17.964592787000583,17.964706187020056,17.964712206012337,17.97217250801623,18.167262997012585,18.167262997012585,18.809154398011742,18.809154398011742,18.809154398011742,18.803090177010745,None,18.803187842015177,18.803208338009426,None,18.803270967997378,18.803290430019842,None,18.803347297012806,18.803365358995507,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/22_0.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,18.809154398011742,,,,,,,,,,,18.803556098020636,18.803642047016183,18.803647912020097,18.809154398011742,18.991997863020515,18.991997863020515,19.71904172099312,19.71904172099312,19.71904172099312,19.712653496011626,None,19.71275121200597,19.712771178019466,None,19.712829312018584,19.712847877992317,None,19.712900190002983,19.71291652400396,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/10_12 copy 2.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,19.71904172099312,,,,,,,,,,,19.713096665014746,19.71317706000991,19.713182652019896,19.71904172099312,19.90690562000964,19.90690562000964,20.58691527901101,20.58691527901101,20.58691527901101,20.580795706016943,None,20.580897628009552,20.58091831600177,None,20.580980953003746,20.58100074599497,None,20.58105633300147,20.581074204994366,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
images/5_40 copy 7.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,20.58691527901101,,,,,,,,,,,20.58126615700894,20.581439308007248,20.581450080993818,20.58691527901101,20.76823814099771,20.76823814099771,22.534324756998103,22.534324756998103,22.534324756998103,22.520035680005094,None,22.52015394900809,22.520174189005047,None,22.52023205300793,22.520250389992725,None,22.52030391601147,22.520320403011283,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_12h50.05.030,replicate_nsd,2023.2.3,59.96358422543912,2024-04-09 12h50.15.352925 -0400,
