current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_4.started,text_4.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,48.49851891500293,,,,,,,,,,,48.48284698300995,48.49851891500293,49.51376386501943,49.51376386501943,50.30154779800796,50.30154779800796,50.30154779800796,50.29334540999844,None,50.29349836401525,,,,,50.293531333009014,None,50.29362793802284,,,50.29366163900704,None,,,50.29375099900062,50.29377909601317,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/13_28 copy 4.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,50.30154779800796,,,,,,,,,,,50.294073791010305,,,,,,,50.297958176000975,None,50.29806686801021,50.30154779800796,50.30154779800796,51.04687674701563,51.04687674701563,51.040154799004085,None,51.04025870101759,,,51.040284518996486,None,,,51.04035609101993,51.04037724900991,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/17_12 copy 3.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,51.04687674701563,,,,,,,,,,,51.04059746200801,51.04687674701563,51.22944252702291,51.22944252702291,51.94358317600563,51.94358317600563,51.94358317600563,51.935570547997486,None,51.93572154501453,,,,,51.93575477800914,None,51.93585222601541,,,51.9358853000158,None,,,51.93597650600714,51.93600486801006,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/6_40 copy.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,51.94358317600563,,,,,,,,,,,51.93630344202393,51.94358317600563,52.13065923799877,52.13065923799877,52.867825156019535,52.867825156019535,52.867825156019535,52.859896320005646,None,52.860045561013976,,,,,52.860078079014784,None,52.86017608002294,,,52.86020839502453,None,,,52.860300480999285,52.86032865001471,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/21_12 copy 3.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,52.867825156019535,,,,,,,,,,,52.86062878501252,52.867825156019535,53.07067403302062,53.07067403302062,53.79791186301736,53.79791186301736,53.79791186301736,53.78948125001625,None,53.789658073015744,,,,,53.78969831200084,None,53.78981661400758,,,53.7898566640215,None,,,53.789967217016965,53.79000141500728,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/7_0 copy.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,53.79791186301736,,,,,,,,,,,53.79036091800663,53.79791186301736,53.98399231702206,53.98399231702206,54.74297603301238,54.74297603301238,54.74297603301238,54.73484786800691,None,54.7349993410171,,,,,54.73503231201903,None,54.73513134900713,,,54.735168940009316,None,,,54.735261652007466,54.735289900010685,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/19_0.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,54.74297603301238,,,,,,,,,,,54.73559271299746,54.74297603301238,54.929331747000106,54.929331747000106,55.603986629022984,55.603986629022984,55.603986629022984,55.59713989999727,None,55.597272184008034,,,,,55.59729915502248,None,55.59738182800356,,,55.597408949019155,None,,,55.597484245023225,55.59750715701375,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/24_12 copy 2.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,55.603986629022984,,,,,,,,,,,55.59775850101141,55.603986629022984,55.78669905901188,55.78669905901188,56.46488659500028,56.46488659500028,56.46488659500028,56.45804924299591,None,56.45818696200149,,,,,56.45821457100101,None,56.45829715701984,,,56.458324436011026,None,,,56.45839970500674,56.458423215022776,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/24_0 copy 5.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,56.46488659500028,,,,,,,,,,,56.45867084802012,56.46488659500028,56.65110426401952,56.65110426401952,57.33845033199759,57.33845033199759,57.33845033199759,57.33115310501307,None,57.33127966101165,,,,,57.3313059930224,None,57.331385577010224,,,57.331412035011454,None,,,57.33148573501967,57.33150813000975,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/13_12 copy 2.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,57.33845033199759,,,,,,,,,,,57.33175109702279,57.33845033199759,57.52212534099817,57.52212534099817,58.20291221901425,58.20291221901425,58.20291221901425,58.19618980601081,None,58.19634848702117,,,,,58.19638413199573,None,58.19649633200606,,,58.19653337501222,None,,,58.19663613900775,58.19666890602093,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
