current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.rt,all_keys_pressed_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02764292899883003,0.02787962799993693,0.02790257800006657,0.04671510499974829,0.04671510499974829,3.821101440997154,1,3.7605802090001816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_15_2.png,0,0,,,,,0,0,0,0,,,,,3.8479220650006027,,,,,,,,,,,3.826720345998183,3.8267603009990125,3.82676619799895,3.8479220650006027,3.8479220650006027,4.838454680997529,4.838454680997529,7.838526084000478,7.838526084000478,7.838526084000478,7.838526084000478,7.822332906998781,None,0,None,7.823012993998418,7.823056992998318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_15_1.png,1,0,,,,,0,1,1,1,,,,,7.838526084000478,,,,,,,,,,,7.823334564000106,7.823408063999523,7.823419395997917,7.838526084000478,7.838526084000478,8.838190718997794,8.838190718997794,11.838197166998725,11.838197166998725,11.838197166998725,11.838197166998725,11.822294026998861,1,0,None,11.823069404999842,11.8231143899975,2.8937997610009916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_19_1.png,2,0,,,,,0,2,2,2,,,,,11.838197166998725,,,,,,,,,,,11.823385329000303,11.823464660999889,11.823476374000165,11.838197166998725,11.838197166998725,12.838758981997671,12.838758981997671,15.855523455000366,15.855523455000366,15.855523455000366,15.855523455000366,15.822136083999794,1,0,"['2', '1', '2', '1', '2']",15.82313820499985,15.823181718998967,2.8287226619977446,None,"[0.09545755300132441, 0.2526223419990856, 0.4634738450004079, 0.8088494910007284, 0.8088494910007284]","[None, None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_36_1.png,3,0,,,,,0,3,3,3,,,,,15.855523455000366,,,,,,,,,,,15.823452608998196,15.823527016000298,15.823538475997339,15.855523455000366,15.855523455000366,16.8548514719987,16.8548514719987,19.854297800000495,19.854297800000495,19.854297800000495,19.854297800000495,19.83760726699984,2,0,"['2', '1', '2', '1', '2']",19.83810363199882,19.83812332799789,2.6795956249989104,None,"[0.03312782899956801, 0.17728028199780965, 0.4291252059992985, 0.5930188769998495, 0.8332463070000813]","[None, None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_2_1.png,4,0,,,,,0,4,4,4,,,,,19.854297800000495,,,,,,,,,,,19.838250450997293,19.83828450299916,19.838290083000174,19.854297800000495,19.854297800000495,20.855172130999563,20.855172130999563,23.854353405000438,23.854353405000438,23.854353405000438,23.854353405000438,23.838770233000105,1,0,"['2', '1', '1', '2', '2']",23.83955798599709,23.839599017999717,1.4537028529994132,None,"[0.04763619300138089, 0.13958834599907277, 0.3957877470020321, 0.6543891569999687, 0.945730650000769]","[None, None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_22_2.png,5,0,,,,,0,5,5,5,,,,,23.854353405000438,,,,,,,,,,,23.839866570000595,23.83994103099758,23.839952499998617,23.854353405000438,23.854353405000438,24.855210795998573,24.855210795998573,27.854329321999103,27.854329321999103,27.854329321999103,27.854329321999103,27.838810088000173,None,0,None,27.83922091599743,27.83926056799828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_25_2.png,6,0,,,,,0,6,6,6,,,,,27.854329321999103,,,,,,,,,,,27.839533757000027,27.839607826997963,27.83961947900025,27.854329321999103,27.854329321999103,28.855338731998927,28.855338731998927,31.85437717199966,31.85437717199966,31.85437717199966,31.85437717199966,31.838712127999315,None,0,None,31.839126058999682,31.839164757999242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_24_1.png,7,0,,,,,0,7,7,7,,,,,31.85437717199966,,,,,,,,,,,31.839433318000374,31.83950617699884,31.839517812997656,31.85437717199966,31.85437717199966,32.855319667,32.855319667,35.85486770100033,35.85486770100033,35.85486770100033,35.85486770100033,35.83835553699828,1,0,None,35.83894162800061,35.838982307999686,2.017657019998296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_18_1.png,8,0,,,,,0,8,8,8,,,,,35.85486770100033,,,,,,,,,,,35.839250630000606,35.83932489200015,35.83933647499725,35.85486770100033,35.85486770100033,36.85540467700048,36.85540467700048,39.85482700599823,39.85482700599823,39.85482700599823,39.85482700599823,39.83868834999885,2,0,None,39.83927362999748,39.83931442099856,2.8689054009992105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_12_1.png,9,0,,,,,0,9,9,9,,,,,39.85482700599823,,,,,,,,,,,39.83957968100003,39.83963931099788,39.83964865499729,39.85482700599823,39.85482700599823,40.85540157899959,40.85540157899959,43.90473540200037,43.90473540200037,43.90473540200037,43.90473540200037,43.88886572199772,1,0,"['1', '2', '1']",43.88965601900054,43.889697943999636,2.7519350499969732,None,"[0.1496695540008659, 0.5326066720008384, 0.7523462480021408]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
blank.jpg,10,1,,,,,0,10,10,10,,,,,43.90473540200037,,,,,,,,,,,43.889963533998525,43.890038153000205,43.8900496669994,,,,,,,,,43.89566771399768,None,0,None,43.895983690999856,47.88885178700002,,,,,43.90473540200037,47.905138342997816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_4_2.png,11,0,,,,,0,11,11,11,,,,,47.905138342997816,,,,,,,,,,,47.88923464099935,47.88931118899927,47.889323552997666,47.905138342997816,47.905138342997816,48.905287765999674,48.905287765999674,51.90446803499799,51.90446803499799,51.90446803499799,51.90446803499799,51.88883433499723,1,0,None,51.889418613998714,51.88946070699967,2.8834237190021668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_36_2.png,12,0,,,,,0,12,12,12,,,,,51.90446803499799,,,,,,,,,,,51.88972915499835,51.889803548998316,51.8898152239999,51.90446803499799,51.90446803499799,52.90492418899885,52.90492418899885,55.904542181997385,55.904542181997385,55.904542181997385,55.904542181997385,55.888734438998654,None,0,"['2', '1']",55.889355379000335,55.889396782000404,,,"[0.1133277699991595, 0.11717257099735434]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
practice_images/paired_image_30_1.png,13,0,,,,,0,13,13,13,,,,,55.904542181997385,,,,,,,,,,,55.88966658299978,55.88974092299759,55.88975233800011,55.904542181997385,55.904542181997385,56.905509157997585,56.905509157997585,59.90422460499758,59.90422460499758,59.90422460499758,59.90422460499758,59.888949978998426,None,0,None,59.88936370399824,59.88940418799757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,14,,2024-04-13_13h40.13.321,replicate_nsd,2023.2.3,59.999675160664715,2024-04-13 13h40.27.129581 -0400,
