current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,all_keys_pressed_2.rt,all_keys_pressed_2.duration,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,press_if_repeat.rt,press_if_repeat.duration,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,all_keys_pressed.rt,all_keys_pressed.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.06325253100021655,0.06367635100014013,0.06368407100035256,0.07789153900012025,0.07789153900012025,1.8512697930000286,1,1.7691736189999574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_25_2.png,0,0,,,,,0,0,0,0,,,,,1.8788443960002041,,,,,,,,,,,1.8575575210006718,1.8576054100003603,1.857611616000213,1.8788443960002041,1.8788443960002041,2.86747524600014,2.86747524600014,5.8670856280004955,5.8670856280004955,5.8670856280004955,5.8670856280004955,5.853016759000639,None,0,"['2', '1', '2', '1']","[0.15617310500056192, 0.31217533000017283, 0.41217378600049415, 0.536174691999804]","[None, None, None, None]",5.853661932999785,5.853686219999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_15_2.png,1,0,,,,,0,1,1,1,,,,,5.8670856280004955,,,,,,,,,,,5.853849715000251,5.853903971999898,5.853910451000047,5.8670856280004955,5.8670856280004955,6.8672236040001735,6.8672236040001735,9.867120883000098,9.867120883000098,9.867120883000098,9.867120883000098,9.850877143000616,None,0,None,,,9.851077398000598,9.851095652000367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_12_1.png,2,0,,,,,0,2,2,2,,,,,9.867120883000098,,,,,,,,,,,9.851226941000277,9.851266767000197,9.85127215600005,9.867120883000098,9.867120883000098,10.867070883000451,10.867070883000451,13.86792493700068,13.86792493700068,13.86792493700068,13.86792493700068,13.85191251300057,None,0,None,,,13.852331527999922,13.852370945000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_2_1.png,3,0,,,,,0,3,3,3,,,,,13.86792493700068,,,,,,,,,,,13.852649571999791,13.852736962000563,13.852748772000268,13.86792493700068,13.86792493700068,14.868063681999956,14.868063681999956,17.86745827699997,17.86745827699997,17.86745827699997,17.86745827699997,17.85162911000043,None,0,None,,,17.852048008000565,17.852087641999788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_20_2.png,4,0,,,,,0,4,4,4,,,,,17.86745827699997,,,,,,,,,,,17.85236972199982,17.852455494000424,17.852467267000065,17.86745827699997,17.86745827699997,18.86838995100061,18.86838995100061,21.868223318000673,21.868223318000673,21.868223318000673,21.868223318000673,21.851489354000478,None,0,None,,,21.851911581000422,21.851951992000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_27_1.png,5,0,,,,,0,5,5,5,,,,,21.868223318000673,,,,,,,,,,,21.852236694000567,21.852306943000258,21.852316483000322,21.868223318000673,21.868223318000673,22.868396111000038,22.868396111000038,25.86718746800034,25.86718746800034,25.86718746800034,25.86718746800034,25.851382861000275,None,0,None,,,25.851720341000146,25.851751762000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_6_2.png,6,0,,,,,0,6,6,6,,,,,25.86718746800034,,,,,,,,,,,25.851972000000387,25.852042201000586,25.852051622000545,25.86718746800034,25.86718746800034,26.86986188999981,26.86986188999981,29.868063679000443,29.868063679000443,29.868063679000443,29.868063679000443,29.851529835999827,None,0,None,,,29.851946691000194,29.851985762999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_29_1.png,7,0,,,,,0,7,7,7,,,,,29.868063679000443,,,,,,,,,,,29.852258318000167,29.85234322300039,29.85235453200039,29.868063679000443,29.868063679000443,30.867102223000074,30.867102223000074,33.86781809600052,33.86781809600052,33.86781809600052,33.86781809600052,33.85160973500024,None,0,None,,,33.85204731900012,33.85208851400057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
practice_images/paired_image_36_2.png,8,0,,,,,0,8,8,8,,,,,33.86781809600052,,,,,,,,,,,33.852369713999906,33.852457968000635,33.852470068,33.86781809600052,33.86781809600052,34.86835941500067,34.86835941500067,37.86799390299984,37.86799390299984,37.86799390299984,37.86799390299984,37.85193870100011,None,0,None,,,37.8523551140006,37.852400130000206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,001,0,,2024-04-15_10h21.05.440,replicate_nsd,2023.2.3,59.613006549363774,2024-04-15 10h22.26.068415 -0400,
