current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,key_resp_3.stopped,polygon_2.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.026235265999275725,0.04045974700420629,0.04045974700420629,3.0631267200005823,5,3.009217710001394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
,,,,,,,,,,,,,,,,,,,3.0631499720038846,3.063201149001543,3.063208633000613,3.0800305840020883,3.0800305840020883,3.814128099998925,space,0.7336320190006518,None,,,,,,,,,,,,,,,,,,,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,3.9069556899994495,,,,,,,,,,,,,,,,,,3.857364333998703,3.862198809001711,None,3.8627260450011818,3.9069556899994495,3.9069556899994495,7.847024847003922,None,7.8481401540047955,7.84819086400239,,,,,,,,,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,7.863680467002268,,,,,,,,,,,,,,,,,,7.8485086530054105,7.85183844200219,None,7.85207835300389,7.863680467002268,7.863680467002268,11.84729757400055,None,11.847503219003556,11.847544696000114,11.863708996999776,11.863708996999776,,,,,,,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,11.863708996999776,,,,,,,,,,,,,,,,,,11.84784170200146,11.85096077700291,None,11.85123929400288,11.863708996999776,11.863708996999776,15.847043898000265,None,15.84725091799919,15.847291671001585,15.863130900004762,15.863130900004762,,,,,,,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/18_0 copy.jpg,0,3,0,0,0,0,3,3,3,15.863130900004762,,,,,,,,,,,,,,,,,,15.847590993005724,19.84714000399981,None,19.847350108000683,,,19.84739115300181,None,19.847514850000152,19.847552651001024,,,15.863130900004762,16.86315885100339,16.86315885100339,19.863907683000434,19.863907683000434,19.863907683000434,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/24_0 copy 5.jpg,0,4,0,0,0,0,4,4,4,19.863907683000434,,,,,,,,,,,,,,,,,,19.847855422005523,23.846678062000137,None,23.846884860999126,,,23.84692391200224,None,23.847047524999653,23.847086109002703,,,19.863907683000434,20.863719116001448,20.863719116001448,23.863253542003804,23.863253542003804,23.863253542003804,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/14_28 copy 6.jpg,0,5,0,0,0,0,5,5,5,23.863253542003804,,,,,,,,,,,,,,,,,,23.847383621003246,27.847298510001565,None,27.84750450100546,,,27.847542879004322,None,27.84766472499905,27.847702033999667,,,23.863253542003804,24.86343650400522,24.86343650400522,27.863258493001922,27.863258493001922,27.863258493001922,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/21_28.jpg,0,6,0,0,0,0,6,6,6,27.863258493001922,,,,,,,,,,,,,,,,,,27.847991797003488,31.84704682600568,None,31.847253920001094,,,31.847292757003743,None,31.847416764001537,31.84745396100334,,,27.863258493001922,28.863863102000323,28.863863102000323,31.863875394003117,31.863875394003117,31.863875394003117,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
images/16_12.jpg,0,7,0,0,0,0,7,7,7,31.863875394003117,,,,,,,,,,,,,,,,,,31.847744537000835,35.84736066000187,None,35.84756860000198,,,35.84760908300086,None,35.84773163500358,35.84777005100477,,,31.863875394003117,32.86278209000011,32.86278209000011,35.86332751000009,35.86332751000009,35.86332751000009,8,001,2024-04-03_15h56.09.241,replicate_nsd,2023.2.3,60.1091401667546,2024-04-03 15h56.19.648465 -0400,
