current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0371698240051046,0.0374026219942607,0.03742425297969021,0.048206965991994366,0.048206965991994366,1.6731759549875278,5,1.6202749540098011,None,,,,,,,,,,,,,,,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/7_12 copy 4.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,0,0,0,5.23616964899702,,,,,,,,,,,1.7471829050045926,1.7472417730023153,1.7472480769793037,1.7543944729841314,None,1.7553190650069155,1.7553723469900433,None,1.756177375005791,1.756223456992302,None,1.756912877986906,1.7569536759983748,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/19_40 copy 3.jpg,0,1,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,1,1,1,5.23616964899702,,,,,,,,,,,1.7578485859849025,1.757932410982903,1.7579422910057474,1.7613268099958077,None,1.7614464429789223,1.761483808979392,None,1.761583803978283,1.7616182799974922,None,1.7617111679865047,1.7617440869798884,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/18_28 copy 3.jpg,0,2,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,2,2,2,5.23616964899702,,,,,,,,,,,1.762039430992445,1.7621214499813505,1.7621311050024815,1.7654214059875812,None,1.7655407190031838,1.7655857559875585,None,1.7656863149895798,1.7657212149933912,None,1.7658145619789138,1.7658478009980172,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/22_40 copy.jpg,0,3,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,3,3,3,5.23616964899702,,,,,,,,,,,1.7661423019890208,1.7662241029902361,1.766233756992733,1.7693357240059413,None,1.769456067995634,1.769492650986649,None,1.7695908689929638,1.769625379005447,None,1.769718681985978,1.7697516299958806,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/14_40 copy 4.jpg,0,4,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,4,4,4,5.23616964899702,,,,,,,,,,,1.7700469410046935,1.7701283000060357,1.7701380710059311,1.77339759998722,None,1.7735177279973868,1.7735547479824163,None,1.7736522280029021,1.7736870889784768,None,1.7737800529866945,1.7738125789910555,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/pair04 copy 5.jpg,0,5,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,5,5,5,5.23616964899702,,,,,,,,,,,1.7741073179931846,1.7741890589823015,1.7741987689805683,1.7832442309882026,None,1.7833425139833707,1.7833721489878371,None,1.7834522500052117,1.7834809359919745,None,1.7835559579834808,1.7835830159892794,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/22_12.jpg,0,6,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,6,6,6,5.23616964899702,,,,,,,,,,,1.78382107699872,1.7838875779998489,1.7838955589977559,1.787422035005875,None,1.7875194439839106,1.787549170985585,None,1.7876285819802433,1.7876559279975481,None,1.7877311279880814,1.787757165991934,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/8_28 copy 4.jpg,0,7,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,7,7,7,5.23616964899702,,,,,,,,,,,1.7879937310062815,1.7880587069957983,1.7880663099931553,1.7906526479928289,None,1.7907350809837226,1.7907602219784167,None,1.7908257889794186,1.7908491769921966,None,1.7909111850021873,1.7909336209995672,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/18_40 copy.jpg,0,8,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,8,8,8,5.23616964899702,,,,,,,,,,,1.791131581994705,1.7912210039794445,1.7912281089811586,1.7935763349814806,None,1.7936594100028742,1.7936849989928305,None,1.7937530009949114,1.793777040002169,None,1.793840664991876,1.7938633610028774,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/blank.jpg,0,9,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,9,9,9,5.23616964899702,,,,,,,,,,,1.794065445981687,1.7941214960010257,1.7941280030063353,1.7961643369926605,None,1.796260203991551,1.7962906769826077,None,1.7963694600039162,1.7963970109994989,None,1.7964719260053243,1.7964982029807288,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/pair03 copy 7.jpg,0,10,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,10,10,10,5.23616964899702,,,,,,,,,,,1.796734215982724,1.796799731993815,1.7968073439842556,1.7999742279935163,None,1.8000578679784667,1.8000834039994515,None,1.8001518060045782,1.800175565003883,None,1.800239446980413,1.8002621860068757,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/8_28 copy.jpg,0,11,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,11,11,11,5.23616964899702,,,,,,,,,,,1.8004694039991591,1.800525459984783,1.800532013992779,1.803277655999409,None,1.8033604240044951,1.8033861749863718,None,1.8034542409877758,1.8034774139814544,None,1.803541775996564,1.8035649789962918,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/17_28 copy.jpg,0,12,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,12,12,12,5.23616964899702,,,,,,,,,,,1.8037670069898013,1.8038227210054174,1.8038294639845844,1.8066818279912695,None,1.8067766779859085,1.8068056519841775,None,1.8068844759836793,1.8069117759878282,None,1.8069865120050963,1.8070130980049726,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/pair11 copy 5.jpg,0,13,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,13,13,13,5.23616964899702,,,,,,,,,,,1.8072496609820519,1.8073144840018358,1.8073222469829489,1.81118888000492,None,1.811285173986107,1.8113156229956076,None,1.8113958099856973,1.8114239319984335,None,1.8114988890010864,1.811525900993729,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/pair13.jpg,0,14,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,14,14,14,5.23616964899702,,,,,,,,,,,1.8117631299828645,1.8118278289912269,1.8118358179926872,1.815247246006038,None,1.8153435539861675,1.8153734139923472,None,1.8154524079873227,1.815480403980473,None,1.815554297005292,1.8155886599852238,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/8_28 copy 3.jpg,0,15,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,15,15,15,5.23616964899702,,,,,,,,,,,1.8158296599867754,1.8158948939817492,1.8159029109810945,1.8188412849849556,None,1.818938354990678,1.8189682219817769,None,1.8190478839969728,1.8190753319940995,None,1.8191502789850347,1.8191771270066965,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/23_40 copy.jpg,0,16,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,16,16,16,5.23616964899702,,,,,,,,,,,1.8194147390022408,1.819479372992646,1.8194870519801043,1.8225360149808694,None,1.8226326929870993,1.822662919992581,None,1.8227415069995914,1.8227690990024712,None,1.8228434869961347,1.8228698750026524,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/23_40 copy 6.jpg,0,17,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,17,17,17,5.23616964899702,,,,,,,,,,,1.8231058520032093,1.823170907999156,1.8231785929820035,1.8256405860011,None,1.8257372099906206,1.8257678769878112,None,1.825847228989005,1.8258746579813305,None,1.826012334000552,1.8260406149784103,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/20_40 copy 2.jpg,0,18,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,18,18,18,5.23616964899702,,,,,,,,,,,1.8262831299798563,1.8263483739865478,1.8263563719810918,1.829190029995516,None,1.8292858399800025,1.8293154900020454,None,1.8293943339958787,1.8294225680001546,None,1.829497397004161,1.829523936001351,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,5.23616964899702,,,,,,,,,,,1.8297604639956262,1.8298252039821818,1.8298327319789678,1.8317361589870416,None,1.831830971990712,1.8318600530037656,None,1.8319382509798743,1.8319659279950429,None,1.83203978597885,1.832066181988921,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/12_28 copy.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,5.23616964899702,,,,,,,,,,,1.8323015570058487,1.8323659609886818,1.8323736639868002,1.835139195987722,None,1.8352367369807325,1.8352657219802495,None,1.8353444369859062,1.8353722610045224,None,1.8354467869794462,1.835474900988629,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/6_0 copy 7.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,5.23616964899702,,,,,,,,,,,1.8357109039789066,1.8357758249912877,1.8357835130009335,1.8386458290042356,None,1.8387416299956385,1.8387712629919406,None,1.8388500809960533,1.8388776799838524,None,1.838952130987309,1.8389784900064114,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/15_28 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,5.23616964899702,,,,,,,,,,,1.8392159729846753,1.8392804639879614,1.8392881879990455,1.8421744859952014,None,1.84227022799314,1.8422994930006098,None,1.8423775359988213,1.842405420000432,None,1.842479511979036,1.842505162989255,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/14_28 copy 5.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,5.23616964899702,,,,,,,,,,,1.8427398009807803,1.8428048019995913,1.8428124680067413,1.8456511859840248,None,1.8457471010042354,1.8457766840001568,None,1.8458555649849586,1.8458834729972295,None,1.845958317979239,1.8459846719924826,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/11_0 copy 2.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,5.23616964899702,,,,,,,,,,,1.8462220749934204,1.8462871889933012,1.8462948539818171,1.8490902819903567,None,1.849186090985313,1.8492165789939463,None,1.849295247986447,1.8493231179891154,None,1.8493970760027878,1.849423370003933,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/23_40 copy 4.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,5.23616964899702,,,,,,,,,,,1.8496602569939569,1.8497261849988718,1.849734115996398,1.8522139249835163,None,1.8523093319963664,1.852338692988269,None,1.8524172579927836,1.8524450569821056,None,1.8525196819973644,1.852545708999969,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/14_40 copy 7.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,5.23616964899702,,,,,,,,,,,1.8527822049800307,1.8528482749825343,1.852855898992857,1.8553977529809345,None,1.855493763985578,1.855523046979215,None,1.8556022879783995,1.8556299459887668,None,1.8557038209983148,1.8557304439891595,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/24_40 copy 7.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,5.23616964899702,,,,,,,,,,,1.8559653289848939,1.8560308279993478,1.8560389659833163,1.8588998729828745,None,1.8589964589918964,1.8590255790040828,None,1.8591054040007293,1.8591324229782913,None,1.8592071649909485,1.859232974005863,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/21_0 copy 6.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,5.23616964899702,,,,,,,,,,,1.8594690820027608,1.859534902003361,1.8595426520041656,1.8623548529867548,None,1.86245209898334,1.862482636992354,None,1.862561124988133,1.8625893289863598,None,1.8626647889905144,1.8626904389820993,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,5.23616964899702,,,,,,,,,,,1.8629262039903551,1.862990876979893,1.8629985039879102,1.8648866369912867,None,1.8649835840042215,1.8650133289920632,None,1.865091838000808,1.865119281981606,None,1.8651935789966956,1.8652193399902899,None,1,001,16,,2024-04-09_13h57.38.459,replicate_nsd,2023.2.3,59.874111202892585,2024-04-09 13h57.52.165696 -0400,
