current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,all_keys_pressed_2.rt,all_keys_pressed_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.rt,all_keys_pressed.duration,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0441108750001149,0.04422635300034017,0.04423519500051043,0.06351394500052265,0.06351394500052265,2.897410137999941,1,2.820658481999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_6_2.png,0,0,,,,,0,0,0,0,,,,,2.9318746079998164,,,,,,,,,,,2.904142834000595,2.904197094000665,2.9042042950004543,2.9318746079998164,2.9318746079998164,3.9302002129998073,3.9302002129998073,6.930343867999909,6.930343867999909,6.930343867999909,6.930343867999909,6.913736876999792,2,0,2.9459616700005427,None,None,6.914356668000437,6.914384634000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_21_2.png,1,0,,,,,0,1,1,1,,,,,6.930343867999909,,,,,,,,,,,6.914560875999996,6.9146181590003835,6.914625166000405,6.930343867999909,6.930343867999909,7.930537717999869,7.930537717999869,10.930224071999874,10.930224071999874,10.930224071999874,10.930224071999874,10.913328198000272,1,0,2.857618521000404,None,"['2', '1']",10.913801434000561,10.913820945000225,"[0.23384554699987348, 0.24583682800039242]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_22_2.png,2,0,,,,,0,2,2,2,,,,,10.930224071999874,,,,,,,,,,,10.913951319999796,10.913990308000393,10.913995626000542,10.930224071999874,10.930224071999874,11.930195038999955,11.930195038999955,14.929774995000116,14.929774995000116,14.929774995000116,14.929774995000116,14.913328276000357,1,0,2.9099682839996603,None,"['1', '1', '1', '1']",14.913725886000066,14.913745367000047,"[0.12195452099967952, 0.3459587259994805, 0.5860071079996487, 0.8259526490001008]","[None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_30_1.png,3,0,,,,,0,3,3,3,,,,,14.929774995000116,,,,,,,,,,,14.913878875000592,14.913919499000258,14.91392506200009,14.929774995000116,14.929774995000116,15.929738133000683,15.929738133000683,18.963758628000505,18.963758628000505,18.963758628000505,18.963758628000505,18.947945169000377,1,0,2.8946281890002865,None,"['1', '1', '1']",18.94879701300033,18.948839657000462,"[0.15837174199987203, 0.4103695809999408, 0.7583773879996443]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_15_1.png,4,0,,,,,0,4,4,4,,,,,18.963758628000505,,,,,,,,,,,18.94911429200056,18.949201293000442,18.949213007000253,18.963758628000505,18.963758628000505,19.96395521500017,19.96395521500017,22.96334075300001,22.96334075300001,22.96334075300001,22.96334075300001,22.94795734299987,2,0,2.9202763889998096,None,"['2', '1', '2', '1']",22.948759668000093,22.948800715999823,"[0.06844517500030634, 0.31249712000044383, 0.4364454750002551, 0.6245965520001846]","[None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_20_2.png,5,0,,,,,0,5,5,5,,,,,22.96334075300001,,,,,,,,,,,22.949075031000575,22.94915955400029,22.94917108000027,22.96334075300001,22.96334075300001,23.963968703999853,23.963968703999853,26.962860418000673,26.962860418000673,26.962860418000673,26.962860418000673,26.947942666000017,1,0,2.948193602000174,None,"['1', '2', '1', '2', '1']",26.948774290000074,26.94881496400012,"[0.11288981100005913, 0.24885475000064616, 0.40085340900077426, 0.5608554460004598, 0.7848324639999191]","[None, None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_36_2.png,6,0,,,,,0,6,6,6,,,,,26.962860418000673,,,,,,,,,,,26.949086650000027,26.94917145599993,26.94918299500023,26.962860418000673,26.962860418000673,27.96397187599996,27.96397187599996,30.96617497599982,30.96617497599982,30.96617497599982,30.96617497599982,30.947956644000442,1,0,2.764190277000125,None,"['1', '1']",30.948760066999967,30.948800914999993,"[0.4575227880004604, 0.7935133730006783]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_18_1.png,7,0,,,,,0,7,7,7,,,,,30.96617497599982,,,,,,,,,,,30.949074502000258,30.9491600020001,30.949171745000058,30.96617497599982,30.96617497599982,31.966766940000525,31.966766940000525,34.962877763000506,34.962877763000506,34.962877763000506,34.962877763000506,34.94795350700042,1,0,2.9614377050002076,None,"['1', '1', '1']",34.94875454300018,34.948795807999886,"[0.06598223700075323, 0.4061956100003954, 0.8340216870001314]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
practice_images/paired_image_29_1.png,8,0,,,,,0,8,8,8,,,,,34.962877763000506,,,,,,,,,,,34.949067411000215,34.94915308899999,34.949164679000205,34.962877763000506,34.962877763000506,35.96310978300062,35.96310978300062,39.013595250000435,39.013595250000435,39.013595250000435,39.013595250000435,38.9980751789999,1,0,2.977259186000083,None,"['1', '1', '1']",38.99889327800065,38.99893548300042,"[0.361493456000062, 0.6614811859999463, 0.9253527279997797]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,001,0,,2024-04-15_10h55.45.969,replicate_nsd,2023.2.3,59.95449118363832,2024-04-15 10h56.22.900723 -0400,
