current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.011775767000472115,0.011973028000284103,0.011987269000201195,0.03237083900057769,0.03237083900057769,6.305882987000587,space,6.263084981000247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_25_1.png,0,0,,,,,0,0,0,0,,,,,6.343357456000376,,,,,,,,,,,6.312300827000399,6.3123855320000075,6.312394170000516,6.343357456000376,6.343357456000376,7.3393722070004515,7.3393722070004515,10.339384990000326,10.339384990000326,10.339384990000326,10.339384990000326,10.323570163000113,None,0,None,10.32426465700064,10.324309883000751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_24_2.png,1,0,,,,,0,1,1,1,,,,,10.339384990000326,,,,,,,,,,,10.32459374300015,10.324711232000482,10.324723164000716,10.339384990000326,10.339384990000326,11.339699054000448,11.339699054000448,14.339260168000692,14.339260168000692,14.339260168000692,14.339260168000692,14.323738878000768,None,0,None,14.32416835100048,14.324210874000528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_3_1.png,2,0,,,,,0,2,2,2,,,,,14.339260168000692,,,,,,,,,,,14.324492112000371,14.324609135000173,14.324620897000386,14.339260168000692,14.339260168000692,15.339935877000244,15.339935877000244,18.33918554400043,18.33918554400043,18.33918554400043,18.33918554400043,18.323476275000758,None,0,None,18.323818758000016,18.323851720000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_18_1.png,3,0,,,,,0,3,3,3,,,,,18.33918554400043,,,,,,,,,,,18.3240734660003,18.324177504000545,18.32418523800061,18.33918554400043,18.33918554400043,19.339555947000008,19.339555947000008,22.33924986400052,22.33924986400052,22.33924986400052,22.33924986400052,22.323151694000444,None,0,None,22.323477544000525,22.323510348000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_15_1.png,4,0,,,,,0,4,4,4,,,,,22.33924986400052,,,,,,,,,,,22.32373269600066,22.323826961000123,22.323836577000293,22.33924986400052,22.33924986400052,23.33935220300009,23.33935220300009,26.33939419700073,26.33939419700073,26.33939419700073,26.33939419700073,26.32371023000087,None,0,None,26.32414621100088,26.324188673000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_29_1.png,5,0,,,,,0,5,5,5,,,,,26.33939419700073,,,,,,,,,,,26.324470082000516,26.32458747200053,26.32459917400047,26.33939419700073,26.33939419700073,27.339449382000566,27.339449382000566,30.339953801000775,30.339953801000775,30.339953801000775,30.339953801000775,30.32313593500021,None,0,None,30.323541587000364,30.32358256400039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_21_2.png,6,0,,,,,0,6,6,6,,,,,30.339953801000775,,,,,,,,,,,30.323856206000528,30.323973818000013,30.323985804000586,30.339953801000775,30.339953801000775,31.33970334100013,31.33970334100013,34.33962420900025,34.33962420900025,34.33962420900025,34.33962420900025,34.323562582000704,None,0,None,34.323985446000734,34.32402747800006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_16_1.png,7,0,,,,,0,7,7,7,,,,,34.33962420900025,,,,,,,,,,,34.32430462600041,34.32442229500066,34.32443390000026,34.33962420900025,34.33962420900025,35.3396635550007,35.3396635550007,38.339697503000025,38.339697503000025,38.339697503000025,38.339697503000025,38.323219773000346,None,0,None,38.3235450380007,38.32357980600045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
practice_images/paired_image_33_2.png,8,0,,,,,0,8,8,8,,,,,38.339697503000025,,,,,,,,,,,38.32380171800014,38.32389565300036,38.32390502800081,38.339697503000025,38.339697503000025,39.33963874700021,39.33963874700021,42.33990291200007,42.33990291200007,42.33990291200007,42.33990291200007,42.32362297000054,None,0,None,42.32404119500006,42.324074956000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_13h52.47.724,replicate_nsd,2023.2.3,59.94237140407455,2024-04-12 13h53.01.705958 -0400,
