current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/paired_image_33_2.png,8,0,,,,,0,8,8,8,,,,,166.5894144369995,,,,,,,,,,,,,,,,,,166.576590056,166.57670873199913,166.57672129799994,166.5894144369995,166.5894144369995,167.58972492699922,167.58972492699922,170.58946203099913,170.58946203099913,170.58946203099913,170.58946203099913,170.57337146399914,None,0,None,170.5738155529998,170.57385640399934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_26_2.png,9,0,,,,,0,9,9,9,,,,,170.58946203099913,,,,,,,,,,,,,,,,,,170.57413590399938,170.57465190399944,170.57466595699952,170.58946203099913,170.58946203099913,171.58987066399914,171.58987066399914,174.64225519299998,174.64225519299998,174.64225519299998,174.64225519299998,174.62630860299942,None,0,None,174.62673893199917,174.62677979099954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/blank.jpg,10,1,,,,,0,10,10,10,,,,,174.64225519299998,,,,,,,,,,,,,,,,,,174.62705780799934,174.62717703499948,174.62718997799948,,,,,,,,,174.63215747100003,None,0,None,174.63250645099924,178.62635481799953,174.64225519299998,178.64272835599968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_6_1.png,11,0,,,,,0,11,11,11,,,,,178.64272835599968,,,,,,,,,,,,,,,,,,178.6267394689994,178.62685738899927,178.62687089299925,178.64272835599968,178.64272835599968,179.64281245599977,179.64281245599977,182.64244822399996,182.64244822399996,182.64244822399996,182.64244822399996,182.62637015899963,None,0,None,182.62679907799975,182.62683907099927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_11_2.png,12,0,,,,,0,12,12,12,,,,,182.64244822399996,,,,,,,,,,,,,,,,,,182.6271195829995,182.62724181399972,182.6272544249996,182.64244822399996,182.64244822399996,183.64283856699967,183.64283856699967,186.64385522799967,186.64385522799967,186.64385522799967,186.64385522799967,186.62665113000003,None,0,None,186.62707888599925,186.62711979099913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_28_2.png,13,0,,,,,0,13,13,13,,,,,186.64385522799967,,,,,,,,,,,,,,,,,,186.62740010499965,186.62751872399986,186.6275311169993,186.64385522799967,186.64385522799967,187.64297571599946,187.64297571599946,190.64293251599975,190.64293251599975,190.64293251599975,190.64293251599975,190.626844206,None,0,None,190.62727385499966,190.62731408499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_22_2.png,14,0,,,,,0,14,14,14,,,,,190.64293251599975,,,,,,,,,,,,,,,,,,190.62758977199974,190.62770806299977,190.62772049899922,190.64293251599975,190.64293251599975,191.64315468199948,191.64315468199948,194.6446366759992,194.6446366759992,194.6446366759992,194.6446366759992,194.626887206,None,0,None,194.627558442,194.62760020599944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_35_2.png,15,0,,,,,0,15,15,15,,,,,194.6446366759992,,,,,,,,,,,,,,,,,,194.62788157199975,194.62800207700002,194.6280149109998,194.6446366759992,194.6446366759992,195.6432338499999,195.6432338499999,198.6437494389993,198.6437494389993,198.6437494389993,198.6437494389993,198.6269808069992,None,0,None,198.62744026899964,198.62748408099924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_34_1.png,16,0,,,,,0,16,16,16,,,,,198.6437494389993,,,,,,,,,,,,,,,,,,198.6277921109995,198.627921667,198.62793496499944,198.6437494389993,198.6437494389993,199.6434361469992,199.6434361469992,202.64423500199973,202.64423500199973,202.64423500199973,202.64423500199973,202.62711522599966,None,0,None,202.62754496699927,202.62758545199995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_35_1.png,17,0,,,,,0,17,17,17,,,,,202.64423500199973,,,,,,,,,,,,,,,,,,202.6278635919998,202.6279830629992,202.6279957179995,202.64423500199973,202.64423500199973,203.6433815979999,203.6433815979999,206.6431843779992,206.6431843779992,206.6431843779992,206.6431843779992,206.6272370889992,None,0,None,206.62766329199985,206.62770404499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
