current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/11_28 copy 2.jpg,9,0,,,,,0,9,9,9,,,,,36.89386711399993,,,,,,,,,,,36.87819994399979,36.87828506999995,36.87829665499976,36.89386711399993,36.89386711399993,37.8938953779998,37.8938953779998,40.89388919200019,40.89388919200019,40.89388919200019,40.89388919200019,40.87740694200011,None,0,None,40.87783019200015,40.87786942399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/blank.jpg,10,1,,,,,0,10,10,10,,,,,40.89388919200019,,,,,,,,,,,40.87814091900009,40.878226798000014,40.87823864499978,,,,,,,,,40.88127197299991,None,0,None,40.88175688599995,44.92735447799987,40.89388919200019,44.94397923899987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/5_28 copy 5.jpg,11,0,,,,,0,11,11,11,,,,,44.94397923899987,,,,,,,,,,,44.92773512699978,44.92781959900003,44.92783143999986,44.94397923899987,44.94397923899987,45.943935953000164,45.943935953000164,48.94372966899982,48.94372966899982,48.94372966899982,48.94372966899982,48.927410595999845,None,0,None,48.92783110299979,48.927871116000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/22_12 copy 5.jpg,12,0,,,,,0,12,12,12,,,,,48.94372966899982,,,,,,,,,,,48.92814790500006,48.92823485300005,48.92824661399982,48.94372966899982,48.94372966899982,49.94385879599986,49.94385879599986,52.94311146200016,52.94311146200016,52.94311146200016,52.94311146200016,52.92644047700014,None,0,None,52.92665178800007,52.92667023000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/10_40 copy 3.jpg,13,0,,,,,0,13,13,13,,,,,52.94311146200016,,,,,,,,,,,52.9268049960001,52.92684577599994,52.9268511209998,52.94311146200016,52.94311146200016,53.943690764000166,53.943690764000166,56.94354996699985,56.94354996699985,56.94354996699985,56.94354996699985,56.92772433800019,None,0,None,56.9281490530002,56.928187568999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/19_12 copy 2.jpg,14,0,,,,,0,14,14,14,,,,,56.94354996699985,,,,,,,,,,,56.928465178999886,56.92855071199983,56.92856232799977,56.94354996699985,56.94354996699985,57.943843930000185,57.943843930000185,60.94477036599983,60.94477036599983,60.94477036599983,60.94477036599983,60.92738136099979,None,0,None,60.92780771900016,60.92784740700017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/pair03 copy 4.jpg,15,0,,,,,0,15,15,15,,,,,60.94477036599983,,,,,,,,,,,60.92812117099993,60.92820572399978,60.92821736699989,60.94477036599983,60.94477036599983,61.94391000099995,61.94391000099995,64.94371213500017,64.94371213500017,64.94371213500017,64.94371213500017,64.92762240000002,None,0,None,64.92818741600013,64.92822600399995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/10_12 copy 4.jpg,16,0,,,,,0,16,16,16,,,,,64.94371213500017,,,,,,,,,,,64.92849809400013,64.92858295299993,64.92859419500019,64.94371213500017,64.94371213500017,65.9439577459998,65.9439577459998,68.94388723800012,68.94388723800012,68.94388723800012,68.94388723800012,68.92658663600014,2,0,None,68.92704954100009,68.927073028,,,2.83559665499979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/17_12 copy.jpg,17,0,,,,,0,17,17,17,,,,,68.94388723800012,,,,,,,,,,,68.92723388200011,68.92728473399984,68.92729152699985,68.94388723800012,68.94388723800012,69.94379295399995,69.94379295399995,72.94387376499981,72.94387376499981,72.94387376499981,72.94387376499981,72.92728013999977,1,0,None,72.92787734100011,72.927918073,,,1.9358383039998444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/pair01 copy 7.jpg,18,0,,,,,0,18,18,18,,,,,72.94387376499981,,,,,,,,,,,72.92819039799997,72.92827665499999,72.9282883310002,72.94387376499981,72.94387376499981,73.94368577200021,73.94368577200021,76.94278918999998,76.94278918999998,76.94278918999998,76.94278918999998,76.92715026399992,1,0,None,76.92774005899992,76.92777997799976,,,2.8678302450002775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
practice_images/12_28.jpg,19,0,,,,,0,19,19,19,,,,,76.94278918999998,,,,,,,,,,,76.92804992699985,76.92813482700012,76.92814705599994,76.94278918999998,76.94278918999998,77.9439396419998,77.9439396419998,80.94628541100019,80.94628541100019,80.94628541100019,80.94628541100019,80.92732770800012,1,0,None,80.92792581100002,80.92796512399991,,,0.6156927930001075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.92802466800003,80.94628541100019,80.94628541100019,85.02627904300016,space,4.065228616999775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.02630228399994,85.04389951199983,85.04389951199983,86.62624239199977,5,1.5676149670002815,None,,,,,,,,,,,,,,,,,,,,,,,,,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
images/image_17_seed_1.png,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,86.73436537399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.70038537900018,86.70046142199999,86.70046846900004,86.73436537399994,86.73436537399994,87.71068112500006,87.71068112500006,90.7126101089998,90.7126101089998,90.7126101089998,90.7126101089998,90.6941477549999,None,0,None,90.69626929600008,90.69631129399977,None,90.69699660200013,90.69705957399992,None,90.69775518799997,90.69779187999984,None,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
images/image_363_seed_1.png,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,90.7126101089998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69871236100016,90.69880167700012,90.69881197399991,90.7126101089998,90.7126101089998,91.71065022199991,91.71065022199991,94.71424380000008,94.71424380000008,94.71424380000008,94.71424380000008,94.693947965,None,0,None,94.69434134599987,94.69437585300011,None,94.69446542900005,94.70367738799996,None,94.70377529999996,94.70380085399984,None,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
images/image_397_seed_1.png,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,94.71424380000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.70406283300008,94.70413757699998,94.704146262,94.71424380000008,94.71424380000008,95.71065731599992,95.71065731599992,98.71501130800016,98.71501130800016,98.71501130800016,98.71501130800016,98.69399361800015,None,0,None,98.6944841290001,98.69452837400013,None,98.69464056200013,98.7028967629999,None,98.7029921530002,98.70301782800016,None,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
images/image_426_seed_1.png,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,98.71501130800016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.70327372400016,98.70334559999992,98.70335384400005,98.71501130800016,98.71501130800016,99.71008913200012,99.71008913200012,102.71426286199994,102.71426286199994,102.71426286199994,102.71426286199994,102.69401136199986,None,0,None,102.69451802499998,102.6945627680002,None,102.6946774779999,102.70296193200011,None,102.7030588890002,102.70308469400015,None,11,001,0,,2024-04-12_13h10.47.465,replicate_nsd,2023.2.3,59.92574181855382,2024-04-12 13h11.01.500951 -0400,
,,,,,,,,,,,,,,,102.71426286199994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.70334259799984,102.70341475999976,102.70342279299985,102.71426286199994,102.71426286199994,103.71033293800019,103.71033293800019,,,,,,,,,,,,,,,,,,,,,,,,,,,
